
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-25-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 9.2001, 14.11, 13.00
2, 9.1621, 19.43, 18.20
3, 8.9639, 21.09, 22.30
4, 9.0440, 18.00, 18.90
5, 9.2551, 18.40, 19.90
6, 8.9699, 18.91, 19.80
7, 9.1043, 15.94, 17.30
8, 9.2860, 18.23, 18.90
9, 9.0343, 19.31, 18.80
10, 9.0455, 14.06, 13.90
11, 9.2062, 11.83, 11.20
12, 9.0688, 15.09, 14.90
13, 9.0414, 16.80, 17.00
14, 8.9872, 15.66, 15.60
15, 8.9912, 10.51, 9.50
16, 8.9961, 10.51, 9.50
17, 8.9995, 10.51, 9.50
18, 8.9999, 10.74, 9.60
19, 8.9994, 13.14, 12.70
20, 8.9930, 15.60, 15.50
21, 8.9953, 16.06, 16.00
22, 9.0291, 14.51, 14.40
23, 8.9875, 16.51, 16.70
24, 8.9781, 17.14, 17.30
25, 8.9908, 17.20, 17.50
26, 8.9899, 17.31, 17.30
27, 8.9923, 16.51, 16.60
28, 8.9876, 17.03, 17.00
29, 8.9954, 17.26, 17.30
30, 8.9995, 15.60, 15.20
31, 8.9903, 16.63, 16.70
32, 8.9879, 17.03, 17.00
33, 8.9962, 17.03, 17.00
34, 8.9932, 16.51, 16.50
35, 8.9977, 16.40, 16.40
36, 9.0000, 16.40, 16.40
37, 9.0000, 16.40, 16.40
38, 9.0000, 16.40, 16.40
39, 9.0000, 16.40, 16.40
40, 9.0000, 16.40, 16.40
41, 9.0000, 16.40, 16.40
42, 9.0000, 16.40, 16.40
43, 9.0000, 16.40, 16.40
44, 9.0000, 16.40, 16.40
45, 8.9993, 16.40, 16.40
46, 8.9955, 15.49, 15.30
47, 8.9984, 15.49, 15.30
48, 8.9979, 15.49, 15.30
49, 8.9937, 15.03, 14.70
50, 8.9970, 14.97, 14.60
51, 9.0000, 14.97, 14.60
52, 8.9969, 12.51, 11.00
53, 8.9999, 12.57, 11.20
54, 8.9995, 12.46, 10.90
55, 9.0000, 12.46, 10.90
56, 9.0000, 12.46, 10.90
57, 9.0000, 12.46, 10.90
58, 9.0000, 12.46, 10.90
59, 9.0000, 12.46, 10.90
60, 9.0000, 12.46, 10.90
61, 9.0000, 12.46, 10.90
62, 9.0000, 12.46, 10.90
63, 9.0000, 12.46, 10.90
64, 9.0000, 12.46, 10.90
65, 9.0000, 12.46, 10.90
66, 9.0000, 12.46, 10.90
67, 9.0000, 12.46, 10.90
68, 9.0000, 12.46, 10.90
69, 9.0000, 12.46, 10.90
70, 9.0000, 12.46, 10.90
71, 9.0000, 12.46, 10.90
72, 9.0000, 12.46, 10.90
73, 9.0000, 12.46, 10.90
74, 9.0000, 12.46, 10.90
75, 9.0000, 12.46, 10.90
76, 9.0000, 12.46, 10.90
77, 9.0000, 12.46, 10.90
78, 9.0000, 12.46, 10.90
79, 9.0000, 12.46, 10.90
80, 9.0000, 12.46, 10.90
81, 9.0000, 12.46, 10.90
82, 9.0000, 12.46, 10.90
83, 9.0000, 12.46, 10.90
84, 9.0000, 12.46, 10.90
85, 9.0000, 12.46, 10.90
86, 9.0000, 12.46, 10.90
87, 9.0000, 12.46, 10.90
88, 9.0000, 12.46, 10.90
89, 9.0000, 12.46, 10.90
90, 9.0000, 12.46, 10.90
91, 9.0000, 12.46, 10.90
92, 9.0000, 12.46, 10.90
93, 9.0000, 12.46, 10.90
94, 9.0000, 12.46, 10.90
95, 9.0000, 12.46, 10.90
96, 9.0000, 12.46, 10.90
97, 9.0000, 12.46, 10.90
98, 9.0000, 12.46, 10.90
99, 9.0000, 12.46, 10.90
100, 9.0000, 12.46, 10.90

