
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-25-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 10.1281, 10.97, 10.20
2, 9.9913, 10.97, 10.20
3, 9.8434, 10.97, 10.20
4, 9.8434, 10.97, 10.20
5, 9.8434, 10.97, 10.20
6, 9.8434, 10.97, 10.20
7, 9.8434, 10.97, 10.20
8, 9.8434, 10.97, 10.20
9, 9.8434, 10.97, 10.20
10, 9.8434, 10.97, 10.20
11, 9.8434, 10.97, 10.20
12, 9.8434, 10.97, 10.20
13, 9.8434, 10.97, 10.20
14, 9.8434, 10.97, 10.20
15, 9.8434, 10.97, 10.20
16, 9.8434, 10.97, 10.20
17, 9.8434, 10.97, 10.20
18, 9.8434, 10.97, 10.20
19, 9.8434, 10.97, 10.20
20, 9.8434, 10.97, 10.20
21, 9.8434, 10.97, 10.20
22, 9.8434, 10.97, 10.20
23, 9.8434, 10.97, 10.20
24, 9.8434, 10.97, 10.20
25, 9.8434, 10.97, 10.20
26, 9.8434, 10.97, 10.20
27, 9.8434, 10.97, 10.20
28, 9.8434, 10.97, 10.20
29, 9.8434, 10.97, 10.20
30, 9.8434, 10.97, 10.20
31, 9.8434, 10.97, 10.20
32, 9.8434, 10.97, 10.20
33, 9.8434, 10.97, 10.20
34, 9.8434, 10.97, 10.20
35, 9.8434, 10.97, 10.20
36, 9.8434, 10.97, 10.20
37, 9.8434, 10.97, 10.20
38, 9.8434, 10.97, 10.20
39, 9.8434, 10.97, 10.20
40, 9.8434, 10.97, 10.20
41, 9.8434, 10.97, 10.20
42, 9.8434, 10.97, 10.20
43, 9.8434, 10.97, 10.20
44, 9.8587, 19.14, 17.30
45, 9.7526, 16.63, 15.80
46, 9.7726, 16.63, 15.80
47, 9.7726, 16.63, 15.80
48, 9.7726, 16.63, 15.80
49, 9.7726, 16.63, 15.80
50, 9.7726, 16.63, 15.80
51, 9.7726, 16.63, 15.80
52, 9.7725, 16.57, 15.90
53, 9.7962, 16.46, 15.90
54, 9.7726, 16.51, 15.90
55, 9.8041, 20.80, 20.00
56, 9.7726, 20.80, 20.00
57, 9.7726, 20.80, 20.00
58, 9.7725, 20.80, 20.00
59, 9.7734, 10.57, 10.10
60, 9.7726, 10.57, 10.10
61, 9.7726, 10.57, 10.10
62, 9.7726, 10.57, 10.10
63, 9.7726, 10.57, 10.10
64, 9.7726, 10.57, 10.10
65, 9.7726, 10.57, 10.10
66, 9.7726, 10.57, 10.10
67, 9.7726, 10.57, 10.10
68, 9.7726, 10.57, 10.10
69, 9.7726, 10.57, 10.10
70, 9.7726, 10.57, 10.10
71, 9.7726, 10.57, 10.10
72, 9.7726, 10.57, 10.10
73, 9.7726, 10.57, 10.10
74, 9.7726, 10.57, 10.10
75, 9.7726, 10.57, 10.10
76, 9.7726, 10.57, 10.10
77, 9.7726, 10.57, 10.10
78, 9.7726, 10.57, 10.10
79, 9.7726, 10.57, 10.10
80, 9.7726, 10.57, 10.10
81, 9.7726, 10.57, 10.10
82, 9.7726, 10.57, 10.10
83, 9.7726, 10.57, 10.10
84, 9.7726, 10.57, 10.10
85, 9.7726, 10.57, 10.10
86, 9.7726, 10.57, 10.10
87, 9.7726, 10.57, 10.10
88, 9.7726, 10.57, 10.10
89, 9.7726, 10.57, 10.10
90, 9.7726, 10.57, 10.10
91, 9.7726, 10.57, 10.10
92, 9.7726, 10.57, 10.10
93, 9.7726, 10.57, 10.10
94, 9.7726, 10.57, 10.10
95, 9.7726, 10.57, 10.10
96, 9.7726, 10.57, 10.10
97, 9.7726, 10.57, 10.10
98, 9.7726, 10.57, 10.10
99, 9.7726, 10.57, 10.10
100, 9.7726, 10.57, 10.10

