
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-15-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.7038, 80.97, 79.70
2, 0.3090, 90.23, 89.20
3, 0.2058, 91.94, 89.60
4, 0.1650, 93.14, 91.90
5, 0.1398, 93.66, 91.80
6, 0.1227, 93.94, 92.00
7, 0.1099, 94.40, 92.20
8, 0.1000, 94.80, 92.30
9, 0.0920, 95.49, 92.10
10, 0.0852, 95.83, 92.00
11, 0.0794, 96.11, 92.00
12, 0.0744, 96.40, 92.60
13, 0.0700, 96.51, 92.50
14, 0.0660, 96.63, 92.60
15, 0.0624, 96.86, 92.50
16, 0.0591, 96.97, 92.20
17, 0.0562, 97.14, 92.20
18, 0.0535, 97.26, 92.30
19, 0.0511, 97.31, 92.60
20, 0.0490, 97.49, 92.70
21, 0.0471, 97.49, 92.60
22, 0.0453, 97.54, 92.70
23, 0.0437, 97.66, 92.60
24, 0.0421, 97.77, 92.70
25, 0.0407, 97.77, 92.70
26, 0.0394, 97.94, 92.80
27, 0.0382, 98.11, 92.90
28, 0.0370, 98.17, 93.00
29, 0.0360, 98.23, 92.80
30, 0.0350, 98.23, 92.90
31, 0.0341, 98.23, 92.80
32, 0.0333, 98.23, 92.90
33, 0.0325, 98.40, 92.80
34, 0.0317, 98.46, 92.90
35, 0.0310, 98.51, 92.90
36, 0.0304, 98.51, 92.90
37, 0.0297, 98.51, 92.90
38, 0.0290, 98.51, 92.90
39, 0.0284, 98.51, 92.90
40, 0.0278, 98.57, 92.90
41, 0.0273, 98.57, 93.10
42, 0.0269, 98.57, 93.10
43, 0.0264, 98.57, 93.20
44, 0.0260, 98.57, 93.20
45, 0.0257, 98.57, 93.00
46, 0.0253, 98.57, 93.00
47, 0.0249, 98.57, 93.00
48, 0.0246, 98.57, 93.10
49, 0.0243, 98.63, 93.10
50, 0.0240, 98.63, 93.10
51, 0.0237, 98.63, 93.10
52, 0.0234, 98.63, 93.00
53, 0.0232, 98.69, 93.00
54, 0.0229, 98.69, 93.00
55, 0.0226, 98.69, 92.90
56, 0.0224, 98.69, 92.80
57, 0.0221, 98.69, 92.60
58, 0.0219, 98.69, 92.60
59, 0.0216, 98.69, 92.60
60, 0.0214, 98.69, 92.60
61, 0.0212, 98.69, 92.70
62, 0.0210, 98.69, 92.70
63, 0.0208, 98.69, 92.70
64, 0.0206, 98.69, 92.70
65, 0.0204, 98.69, 92.70
66, 0.0203, 98.69, 92.70
67, 0.0201, 98.69, 92.70
68, 0.0199, 98.69, 92.70
69, 0.0198, 98.69, 92.70
70, 0.0197, 98.69, 92.80
71, 0.0195, 98.69, 92.80
72, 0.0194, 98.69, 92.80
73, 0.0193, 98.69, 92.80
74, 0.0192, 98.69, 92.80
75, 0.0191, 98.69, 92.90
76, 0.0190, 98.69, 92.90
77, 0.0189, 98.69, 92.90
78, 0.0188, 98.69, 92.90
79, 0.0187, 98.69, 92.90
80, 0.0186, 98.69, 92.90
81, 0.0185, 98.69, 92.90
82, 0.0184, 98.69, 92.90
83, 0.0183, 98.69, 92.90
84, 0.0183, 98.69, 92.90
85, 0.0182, 98.69, 92.90
86, 0.0181, 98.69, 92.90
87, 0.0181, 98.69, 92.90
88, 0.0180, 98.69, 93.00
89, 0.0179, 98.69, 93.00
90, 0.0179, 98.69, 93.00
91, 0.0178, 98.69, 93.00
92, 0.0178, 98.69, 93.00
93, 0.0177, 98.69, 93.00
94, 0.0177, 98.69, 93.00
95, 0.0176, 98.69, 93.00
96, 0.0176, 98.69, 93.00
97, 0.0175, 98.69, 93.00
98, 0.0175, 98.69, 93.00
99, 0.0174, 98.69, 93.00
100, 0.0174, 98.69, 93.00

