
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-20-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.5066, 89.49, 88.40
2, 0.2120, 90.97, 90.80
3, 0.1544, 93.26, 92.10
4, 0.1254, 94.34, 92.70
5, 0.1088, 95.60, 93.90
6, 0.0949, 96.46, 94.20
7, 0.0810, 96.69, 93.90
8, 0.0716, 96.91, 93.80
9, 0.0641, 97.26, 94.20
10, 0.0570, 97.43, 94.00
11, 0.0510, 97.54, 94.00
12, 0.0467, 97.83, 93.70
13, 0.0428, 97.77, 93.70
14, 0.0402, 98.06, 93.50
15, 0.0376, 98.11, 93.70
16, 0.0357, 98.23, 93.70
17, 0.0333, 98.29, 93.60
18, 0.0315, 98.34, 93.60
19, 0.0301, 98.46, 94.00
20, 0.0287, 98.51, 94.10
21, 0.0272, 98.63, 94.40
22, 0.0259, 98.69, 94.50
23, 0.0249, 98.69, 94.60
24, 0.0239, 98.69, 94.80
25, 0.0229, 98.69, 94.70
26, 0.0220, 98.74, 94.80
27, 0.0216, 98.74, 94.60
28, 0.0211, 98.80, 94.40
29, 0.0200, 98.80, 94.30
30, 0.0193, 98.80, 94.30
31, 0.0187, 98.80, 94.20
32, 0.0182, 98.86, 94.40
33, 0.0177, 98.86, 94.40
34, 0.0173, 98.91, 94.40
35, 0.0169, 98.91, 94.50
36, 0.0164, 98.97, 94.30
37, 0.0159, 98.97, 94.10
38, 0.0156, 98.97, 94.20
39, 0.0153, 98.97, 94.20
40, 0.0149, 98.97, 94.10
41, 0.0145, 98.97, 94.20
42, 0.0141, 98.97, 94.20
43, 0.0139, 98.97, 94.10
44, 0.0136, 99.03, 94.10
45, 0.0135, 99.03, 94.20
46, 0.0133, 99.03, 94.30
47, 0.0132, 99.03, 94.20
48, 0.0130, 99.03, 94.20
49, 0.0129, 99.03, 94.30
50, 0.0127, 99.03, 94.40
51, 0.0125, 99.03, 94.20
52, 0.0123, 99.03, 94.20
53, 0.0122, 99.03, 94.30
54, 0.0121, 99.03, 94.00
55, 0.0120, 99.03, 94.10
56, 0.0120, 99.03, 94.30
57, 0.0119, 99.03, 94.30
58, 0.0118, 99.09, 94.30
59, 0.0117, 99.09, 94.10
60, 0.0116, 99.09, 94.10
61, 0.0114, 99.09, 94.20
62, 0.0112, 99.09, 94.20
63, 0.0111, 99.09, 94.20
64, 0.0110, 99.09, 94.20
65, 0.0109, 99.09, 94.10
66, 0.0108, 99.09, 94.10
67, 0.0107, 99.09, 94.10
68, 0.0106, 99.09, 94.10
69, 0.0106, 99.09, 94.10
70, 0.0105, 99.09, 94.10
71, 0.0105, 99.09, 94.10
72, 0.0104, 99.09, 94.10
73, 0.0104, 99.09, 94.10
74, 0.0104, 99.09, 94.00
75, 0.0103, 99.09, 94.00
76, 0.0103, 99.09, 94.00
77, 0.0103, 99.09, 94.00
78, 0.0102, 99.09, 94.10
79, 0.0102, 99.09, 94.10
80, 0.0102, 99.09, 94.10
81, 0.0102, 99.09, 94.20
82, 0.0101, 99.09, 94.30
83, 0.0101, 99.09, 94.30
84, 0.0101, 99.09, 94.30
85, 0.0101, 99.14, 94.30
86, 0.0100, 99.14, 94.40
87, 0.0100, 99.14, 94.50
88, 0.0099, 99.14, 94.50
89, 0.0099, 99.14, 94.60
90, 0.0098, 99.14, 94.60
91, 0.0097, 99.14, 94.20
92, 0.0096, 99.14, 94.20
93, 0.0095, 99.14, 94.20
94, 0.0095, 99.14, 94.20
95, 0.0095, 99.14, 94.20
96, 0.0095, 99.14, 94.20
97, 0.0094, 99.14, 94.20
98, 0.0094, 99.14, 94.20
99, 0.0094, 99.14, 94.20
100, 0.0094, 99.14, 94.20

