
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-30-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 10.6914, 11.71, 12.60
2, 10.2417, 12.29, 12.70
3, 10.2470, 10.97, 10.80
4, 10.2434, 10.97, 10.80
5, 10.2434, 10.97, 10.80
6, 10.2434, 10.97, 10.80
7, 10.2434, 11.03, 10.80
8, 10.2434, 11.09, 10.80
9, 10.2434, 11.14, 10.80
10, 10.2434, 11.20, 10.80
11, 10.2428, 11.49, 11.60
12, 10.2434, 11.49, 11.60
13, 10.2434, 11.49, 11.60
14, 9.8980, 12.57, 13.20
15, 9.6116, 11.77, 12.40
16, 9.8023, 11.83, 12.40
17, 9.4320, 10.11, 10.40
18, 9.3844, 10.06, 10.40
19, 9.3863, 10.06, 10.40
20, 9.3863, 10.06, 10.40
21, 9.3863, 10.06, 10.40
22, 9.3863, 10.06, 10.40
23, 9.3863, 10.06, 10.40
24, 9.3863, 10.06, 10.40
25, 9.3860, 10.11, 10.40
26, 9.3863, 10.11, 10.40
27, 9.3863, 10.11, 10.40
28, 9.3863, 10.11, 10.40
29, 9.3863, 10.11, 10.40
30, 9.3863, 10.11, 10.40
31, 9.3863, 10.11, 10.40
32, 9.3863, 10.11, 10.40
33, 9.3863, 10.11, 10.40
34, 9.3863, 10.11, 10.40
35, 9.3863, 10.11, 10.40
36, 9.3863, 10.11, 10.40
37, 9.3863, 10.11, 10.40
38, 9.3863, 10.11, 10.40
39, 9.3863, 10.11, 10.40
40, 9.3863, 10.11, 10.40
41, 9.3863, 10.11, 10.40
42, 9.3863, 10.11, 10.40
43, 9.3863, 10.11, 10.40
44, 9.3863, 10.11, 10.40
45, 9.3863, 10.11, 10.40
46, 9.3863, 10.11, 10.40
47, 9.3863, 10.11, 10.40
48, 9.3863, 10.11, 10.40
49, 9.3863, 10.11, 10.40
50, 9.3863, 10.11, 10.40
51, 9.3863, 10.11, 10.40
52, 9.3863, 10.11, 10.40
53, 9.3863, 10.11, 10.40
54, 9.3863, 10.11, 10.40
55, 9.3863, 10.11, 10.40
56, 9.3863, 10.11, 10.40
57, 9.3863, 10.11, 10.40
58, 9.3863, 10.11, 10.40
59, 9.3863, 10.11, 10.40
60, 9.3863, 10.11, 10.40
61, 9.3863, 10.11, 10.40
62, 9.3863, 10.11, 10.40
63, 9.3863, 10.11, 10.40
64, 9.3863, 10.11, 10.40
65, 9.3863, 10.11, 10.40
66, 9.3863, 10.11, 10.40
67, 9.3863, 10.11, 10.40
68, 9.3863, 10.11, 10.40
69, 9.3863, 10.11, 10.40
70, 9.3863, 10.11, 10.40
71, 9.3863, 10.11, 10.40
72, 9.3863, 10.11, 10.40
73, 9.3863, 10.11, 10.40
74, 9.3863, 10.11, 10.40
75, 9.3863, 10.11, 10.40
76, 9.3863, 10.11, 10.40
77, 9.3863, 10.11, 10.40
78, 9.3863, 10.11, 10.40
79, 9.3863, 10.11, 10.40
80, 9.3863, 10.11, 10.40
81, 9.3863, 10.11, 10.40
82, 9.3863, 10.11, 10.40
83, 9.3863, 10.11, 10.40
84, 9.3863, 10.11, 10.40
85, 9.3863, 10.11, 10.40
86, 9.3863, 10.11, 10.40
87, 9.3863, 10.11, 10.40
88, 9.3863, 10.11, 10.40
89, 9.3863, 10.11, 10.40
90, 9.3863, 10.11, 10.40
91, 9.3863, 10.11, 10.40
92, 9.3863, 10.11, 10.40
93, 9.3863, 10.11, 10.40
94, 9.3863, 10.11, 10.40
95, 9.3863, 10.11, 10.40
96, 9.3863, 10.11, 10.40
97, 9.3863, 10.11, 10.40
98, 9.3863, 10.11, 10.40
99, 9.3863, 10.11, 10.40
100, 9.3863, 10.11, 10.40

