
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-10-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.7542, 63.94, 65.20
2, 0.3891, 89.14, 87.50
3, 0.2342, 92.57, 89.80
4, 0.1844, 93.09, 91.10
5, 0.1587, 93.60, 91.10
6, 0.1422, 94.23, 90.80
7, 0.1304, 94.51, 90.70
8, 0.1214, 94.63, 90.70
9, 0.1141, 95.03, 90.90
10, 0.1076, 95.14, 90.80
11, 0.1019, 95.54, 90.80
12, 0.0968, 95.66, 90.90
13, 0.0923, 95.89, 90.90
14, 0.0882, 96.17, 90.80
15, 0.0844, 96.40, 91.00
16, 0.0809, 96.63, 91.30
17, 0.0776, 96.80, 91.50
18, 0.0747, 97.03, 91.50
19, 0.0721, 97.03, 91.80
20, 0.0696, 97.14, 91.80
21, 0.0674, 97.20, 91.80
22, 0.0653, 97.37, 91.90
23, 0.0634, 97.66, 91.90
24, 0.0616, 97.71, 92.00
25, 0.0596, 97.66, 92.00
26, 0.0577, 97.66, 92.00
27, 0.0559, 97.83, 92.00
28, 0.0542, 97.94, 91.80
29, 0.0526, 97.94, 91.90
30, 0.0511, 98.00, 92.00
31, 0.0498, 98.06, 91.90
32, 0.0485, 98.06, 92.00
33, 0.0474, 98.11, 91.80
34, 0.0463, 98.11, 91.80
35, 0.0452, 98.17, 91.90
36, 0.0443, 98.17, 91.90
37, 0.0434, 98.17, 92.20
38, 0.0425, 98.23, 92.10
39, 0.0416, 98.29, 92.10
40, 0.0407, 98.29, 92.10
41, 0.0398, 98.40, 92.00
42, 0.0390, 98.46, 92.00
43, 0.0381, 98.46, 92.00
44, 0.0373, 98.46, 92.20
45, 0.0366, 98.46, 92.30
46, 0.0359, 98.40, 92.40
47, 0.0352, 98.40, 92.40
48, 0.0345, 98.34, 92.10
49, 0.0339, 98.34, 92.10
50, 0.0333, 98.34, 92.20
51, 0.0328, 98.34, 92.20
52, 0.0323, 98.46, 92.30
53, 0.0318, 98.51, 92.40
54, 0.0313, 98.51, 92.30
55, 0.0308, 98.63, 92.20
56, 0.0303, 98.74, 92.30
57, 0.0298, 98.74, 92.20
58, 0.0293, 98.74, 92.20
59, 0.0288, 98.74, 92.10
60, 0.0283, 98.74, 92.10
61, 0.0278, 98.80, 92.20
62, 0.0274, 98.86, 92.20
63, 0.0270, 98.91, 92.20
64, 0.0266, 98.97, 92.10
65, 0.0263, 98.97, 92.10
66, 0.0258, 99.03, 92.00
67, 0.0253, 99.03, 91.90
68, 0.0249, 99.03, 91.90
69, 0.0246, 99.03, 91.90
70, 0.0242, 99.03, 91.90
71, 0.0239, 99.03, 91.80
72, 0.0236, 99.03, 91.80
73, 0.0234, 99.03, 91.80
74, 0.0231, 99.03, 91.70
75, 0.0228, 99.03, 91.70
76, 0.0226, 99.03, 91.60
77, 0.0224, 99.03, 91.70
78, 0.0221, 99.03, 91.70
79, 0.0219, 99.03, 91.70
80, 0.0216, 99.03, 91.80
81, 0.0214, 99.03, 91.80
82, 0.0212, 99.03, 91.80
83, 0.0209, 99.03, 91.70
84, 0.0207, 99.09, 91.80
85, 0.0205, 99.09, 91.90
86, 0.0203, 99.09, 91.80
87, 0.0201, 99.09, 91.80
88, 0.0199, 99.09, 91.90
89, 0.0197, 99.09, 91.90
90, 0.0195, 99.09, 91.90
91, 0.0193, 99.14, 91.90
92, 0.0191, 99.14, 91.80
93, 0.0189, 99.14, 91.80
94, 0.0187, 99.14, 91.80
95, 0.0185, 99.14, 91.80
96, 0.0183, 99.14, 91.90
97, 0.0181, 99.14, 92.00
98, 0.0179, 99.14, 91.90
99, 0.0177, 99.14, 92.00
100, 0.0176, 99.14, 92.00

