
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-5-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9682, 19.26, 19.30
2, 0.8915, 24.00, 23.70
3, 0.8811, 29.03, 28.20
4, 0.8636, 33.26, 31.00
5, 0.8366, 36.23, 34.20
6, 0.8008, 40.11, 37.10
7, 0.7603, 44.51, 42.40
8, 0.7187, 49.66, 47.20
9, 0.6782, 53.83, 50.70
10, 0.6415, 56.29, 53.80
11, 0.6103, 58.29, 56.10
12, 0.5847, 59.83, 57.60
13, 0.5640, 61.31, 58.90
14, 0.5470, 62.57, 60.20
15, 0.5328, 63.20, 61.10
16, 0.5207, 64.40, 62.00
17, 0.5099, 65.54, 63.20
18, 0.5002, 66.34, 64.50
19, 0.4912, 67.09, 65.90
20, 0.4827, 67.89, 66.60
21, 0.4745, 68.80, 67.50
22, 0.4665, 69.43, 68.30
23, 0.4585, 69.83, 69.00
24, 0.4502, 70.97, 69.60
25, 0.4413, 72.00, 70.60
26, 0.4318, 73.20, 71.20
27, 0.4219, 74.57, 71.40
28, 0.4122, 75.20, 72.10
29, 0.4031, 75.77, 72.80
30, 0.3948, 76.51, 73.70
31, 0.3871, 77.31, 73.50
32, 0.3801, 77.77, 73.90
33, 0.3736, 78.23, 74.40
34, 0.3675, 78.69, 74.60
35, 0.3618, 79.14, 75.00
36, 0.3563, 79.54, 75.50
37, 0.3511, 80.11, 75.90
38, 0.3462, 80.51, 76.10
39, 0.3414, 80.91, 76.40
40, 0.3369, 81.26, 77.30
41, 0.3325, 81.77, 77.40
42, 0.3283, 81.89, 78.00
43, 0.3242, 82.11, 78.80
44, 0.3203, 82.40, 79.30
45, 0.3165, 83.09, 79.90
46, 0.3128, 83.49, 80.50
47, 0.3093, 83.83, 80.50
48, 0.3058, 84.00, 80.40
49, 0.3024, 84.46, 80.50
50, 0.2991, 84.86, 80.70
51, 0.2959, 85.14, 80.90
52, 0.2928, 85.43, 81.30
53, 0.2897, 85.77, 81.60
54, 0.2867, 86.17, 81.60
55, 0.2837, 86.40, 81.70
56, 0.2808, 86.74, 81.90
57, 0.2779, 87.31, 82.40
58, 0.2749, 87.60, 82.60
59, 0.2720, 87.94, 83.00
60, 0.2691, 88.46, 83.10
61, 0.2661, 88.69, 83.60
62, 0.2632, 88.74, 84.20
63, 0.2601, 88.63, 84.30
64, 0.2571, 88.97, 84.40
65, 0.2540, 89.09, 84.50
66, 0.2510, 89.20, 84.60
67, 0.2479, 89.09, 84.90
68, 0.2449, 89.09, 85.10
69, 0.2418, 89.37, 85.10
70, 0.2388, 89.54, 85.50
71, 0.2359, 89.71, 85.60
72, 0.2330, 89.77, 85.70
73, 0.2301, 89.77, 85.70
74, 0.2274, 89.83, 85.70
75, 0.2247, 89.89, 85.90
76, 0.2220, 90.17, 86.10
77, 0.2195, 90.34, 86.10
78, 0.2170, 90.46, 86.10
79, 0.2146, 90.57, 86.50
80, 0.2122, 90.74, 86.50
81, 0.2099, 90.80, 86.60
82, 0.2077, 91.03, 86.50
83, 0.2056, 91.20, 86.50
84, 0.2035, 91.31, 86.70
85, 0.2015, 91.31, 86.70
86, 0.1995, 91.31, 86.70
87, 0.1977, 91.37, 86.90
88, 0.1959, 91.54, 87.00
89, 0.1941, 91.49, 87.10
90, 0.1924, 91.60, 87.20
91, 0.1908, 91.60, 87.20
92, 0.1892, 91.60, 87.00
93, 0.1876, 91.66, 87.00
94, 0.1861, 91.66, 87.10
95, 0.1847, 91.66, 87.00
96, 0.1833, 91.71, 86.90
97, 0.1819, 91.71, 87.00
98, 0.1806, 91.83, 87.00
99, 0.1793, 91.83, 86.90
100, 0.1780, 92.00, 87.00

