
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-20-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 1.1059, 13.31, 13.90
2, 0.8943, 18.40, 18.80
3, 0.8867, 24.57, 24.30
4, 0.8799, 30.17, 29.80
5, 0.8724, 37.03, 36.30
6, 0.8639, 43.03, 40.20
7, 0.8541, 48.17, 44.30
8, 0.8430, 52.97, 50.10
9, 0.8302, 56.46, 52.80
10, 0.8158, 58.57, 55.80
11, 0.7996, 61.43, 58.40
12, 0.7819, 63.20, 60.50
13, 0.7629, 64.17, 62.00
14, 0.7430, 65.26, 63.50
15, 0.7225, 66.40, 64.40
16, 0.7017, 68.29, 65.70
17, 0.6809, 70.11, 66.90
18, 0.6602, 70.97, 68.00
19, 0.6399, 72.80, 69.40
20, 0.6201, 74.00, 70.40
21, 0.6009, 74.97, 72.40
22, 0.5823, 76.06, 73.90
23, 0.5645, 77.20, 74.50
24, 0.5476, 78.17, 74.80
25, 0.5314, 78.69, 75.40
26, 0.5160, 79.49, 76.20
27, 0.5015, 80.23, 77.40
28, 0.4878, 80.86, 78.10
29, 0.4748, 81.83, 79.00
30, 0.4625, 82.69, 79.60
31, 0.4508, 83.43, 80.10
32, 0.4398, 83.77, 80.40
33, 0.4293, 83.94, 81.20
34, 0.4193, 84.40, 81.80
35, 0.4098, 84.97, 82.20
36, 0.4008, 85.20, 82.50
37, 0.3922, 85.77, 83.00
38, 0.3839, 86.23, 83.70
39, 0.3760, 86.46, 84.00
40, 0.3684, 86.46, 84.00
41, 0.3612, 86.63, 84.80
42, 0.3542, 86.80, 85.20
43, 0.3475, 87.09, 85.40
44, 0.3411, 87.37, 85.70
45, 0.3349, 87.77, 86.10
46, 0.3290, 88.00, 86.20
47, 0.3232, 88.11, 86.30
48, 0.3177, 88.34, 86.40
49, 0.3124, 88.57, 86.60
50, 0.3073, 88.86, 86.80
51, 0.3024, 89.14, 87.00
52, 0.2976, 89.43, 87.20
53, 0.2931, 89.66, 87.30
54, 0.2887, 89.71, 87.50
55, 0.2844, 89.77, 87.80
56, 0.2803, 89.77, 87.80
57, 0.2763, 89.89, 88.10
58, 0.2725, 90.00, 88.10
59, 0.2688, 90.23, 88.30
60, 0.2652, 90.29, 88.40
61, 0.2618, 90.51, 88.50
62, 0.2584, 90.63, 88.70
63, 0.2552, 90.63, 88.90
64, 0.2520, 90.80, 88.90
65, 0.2490, 90.91, 89.00
66, 0.2460, 91.14, 89.00
67, 0.2432, 91.26, 89.00
68, 0.2404, 91.43, 89.00
69, 0.2377, 91.49, 89.20
70, 0.2351, 91.71, 89.30
71, 0.2325, 91.77, 89.40
72, 0.2300, 91.77, 89.40
73, 0.2276, 91.89, 89.40
74, 0.2253, 92.00, 89.40
75, 0.2230, 92.11, 89.40
76, 0.2208, 92.06, 89.40
77, 0.2186, 92.11, 89.40
78, 0.2165, 92.17, 89.40
79, 0.2145, 92.29, 89.40
80, 0.2125, 92.34, 89.50
81, 0.2105, 92.40, 89.40
82, 0.2086, 92.51, 89.60
83, 0.2068, 92.57, 89.60
84, 0.2050, 92.74, 89.60
85, 0.2032, 92.74, 89.60
86, 0.2015, 92.86, 89.60
87, 0.1998, 92.91, 89.60
88, 0.1981, 92.97, 89.50
89, 0.1965, 93.09, 89.50
90, 0.1949, 93.09, 89.40
91, 0.1934, 93.09, 89.60
92, 0.1918, 93.20, 89.70
93, 0.1904, 93.31, 89.70
94, 0.1889, 93.31, 89.80
95, 0.1875, 93.37, 89.80
96, 0.1861, 93.37, 89.80
97, 0.1847, 93.49, 89.80
98, 0.1834, 93.49, 89.90
99, 0.1821, 93.49, 90.00
100, 0.1808, 93.49, 90.00

