
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-10-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9469, 28.43, 28.00
2, 0.8815, 31.44, 31.52
3, 0.8623, 33.37, 32.77
4, 0.8309, 37.76, 37.80
5, 0.7900, 43.07, 44.00
6, 0.7466, 47.20, 48.02
7, 0.7042, 51.39, 52.05
8, 0.6643, 56.07, 56.77
9, 0.6266, 61.26, 61.20
10, 0.5902, 65.79, 65.45
11, 0.5545, 70.53, 70.08
12, 0.5194, 74.53, 74.55
13, 0.4847, 78.66, 78.65
14, 0.4504, 81.47, 81.60
15, 0.4174, 83.84, 83.70
16, 0.3871, 85.50, 85.10
17, 0.3604, 86.61, 86.10
18, 0.3372, 87.44, 87.12
19, 0.3171, 88.20, 88.10
20, 0.2999, 88.97, 88.42
21, 0.2849, 89.50, 88.80
22, 0.2719, 89.96, 89.22
23, 0.2605, 90.16, 89.42
24, 0.2505, 90.34, 89.78
25, 0.2416, 90.69, 90.05
26, 0.2336, 90.84, 90.35
27, 0.2265, 91.01, 90.53
28, 0.2200, 91.31, 90.67
29, 0.2140, 91.44, 90.90
30, 0.2086, 91.66, 91.15
31, 0.2036, 91.83, 91.10
32, 0.1990, 92.01, 91.22
33, 0.1947, 92.09, 91.33
34, 0.1907, 92.24, 91.45
35, 0.1870, 92.40, 91.55
36, 0.1835, 92.49, 91.65
37, 0.1803, 92.56, 91.80
38, 0.1772, 92.67, 91.85
39, 0.1743, 92.76, 91.92
40, 0.1716, 92.80, 91.97
41, 0.1690, 92.86, 92.07
42, 0.1666, 92.93, 92.17
43, 0.1643, 93.03, 92.17
44, 0.1621, 93.11, 92.20
45, 0.1600, 93.14, 92.22
46, 0.1580, 93.24, 92.25
47, 0.1561, 93.31, 92.30
48, 0.1542, 93.37, 92.38
49, 0.1525, 93.41, 92.45
50, 0.1508, 93.49, 92.50
51, 0.1492, 93.51, 92.50
52, 0.1477, 93.57, 92.62
53, 0.1462, 93.63, 92.65
54, 0.1448, 93.69, 92.70
55, 0.1434, 93.73, 92.73
56, 0.1421, 93.76, 92.77
57, 0.1408, 93.77, 92.83
58, 0.1396, 93.83, 92.88
59, 0.1384, 93.91, 92.92
60, 0.1373, 93.93, 92.92
61, 0.1362, 93.97, 92.90
62, 0.1351, 94.04, 92.97
63, 0.1341, 94.06, 93.05
64, 0.1331, 94.09, 93.05
65, 0.1321, 94.13, 93.05
66, 0.1311, 94.17, 93.08
67, 0.1302, 94.20, 93.05
68, 0.1293, 94.24, 93.08
69, 0.1285, 94.27, 93.10
70, 0.1276, 94.30, 93.15
71, 0.1268, 94.31, 93.23
72, 0.1260, 94.34, 93.25
73, 0.1252, 94.36, 93.23
74, 0.1245, 94.40, 93.23
75, 0.1237, 94.40, 93.25
76, 0.1230, 94.43, 93.27
77, 0.1223, 94.46, 93.35
78, 0.1216, 94.49, 93.40
79, 0.1209, 94.51, 93.45
80, 0.1203, 94.53, 93.47
81, 0.1196, 94.57, 93.50
82, 0.1190, 94.61, 93.53
83, 0.1184, 94.63, 93.58
84, 0.1178, 94.61, 93.60
85, 0.1172, 94.64, 93.62
86, 0.1166, 94.66, 93.62
87, 0.1161, 94.69, 93.60
88, 0.1155, 94.70, 93.60
89, 0.1150, 94.73, 93.67
90, 0.1144, 94.73, 93.70
91, 0.1139, 94.76, 93.70
92, 0.1134, 94.77, 93.75
93, 0.1129, 94.76, 93.75
94, 0.1124, 94.79, 93.83
95, 0.1119, 94.80, 93.83
96, 0.1115, 94.81, 93.83
97, 0.1110, 94.83, 93.85
98, 0.1106, 94.84, 93.88
99, 0.1101, 94.86, 93.88
100, 0.1097, 94.86, 93.85

