
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-20-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.2644, 92.54, 91.65
2, 0.1181, 94.01, 92.47
3, 0.0958, 94.76, 93.65
4, 0.0844, 95.83, 94.38
5, 0.0780, 96.23, 94.23
6, 0.0707, 96.56, 94.50
7, 0.0651, 96.70, 94.70
8, 0.0613, 96.87, 94.83
9, 0.0574, 97.10, 95.08
10, 0.0538, 97.07, 95.08
11, 0.0506, 97.40, 95.17
12, 0.0481, 97.71, 95.47
13, 0.0458, 97.70, 95.33
14, 0.0441, 97.74, 95.28
15, 0.0420, 97.86, 95.33
16, 0.0405, 97.99, 95.25
17, 0.0392, 98.00, 95.38
18, 0.0376, 97.86, 95.00
19, 0.0371, 98.06, 95.33
20, 0.0353, 98.09, 95.17
21, 0.0341, 98.13, 95.12
22, 0.0331, 98.24, 95.33
23, 0.0336, 98.29, 95.25
24, 0.0312, 98.31, 95.23
25, 0.0309, 98.33, 95.25
26, 0.0296, 98.34, 95.28
27, 0.0290, 98.31, 95.38
28, 0.0295, 98.37, 95.17
29, 0.0288, 98.43, 95.35
30, 0.0269, 98.34, 95.28
31, 0.0265, 98.41, 95.23
32, 0.0254, 98.39, 95.43
33, 0.0243, 98.43, 95.23
34, 0.0243, 98.26, 95.33
35, 0.0244, 98.40, 95.23
36, 0.0236, 98.49, 95.40
37, 0.0231, 98.34, 95.23
38, 0.0226, 98.49, 95.40
39, 0.0227, 98.43, 95.45
40, 0.0227, 98.46, 95.70
41, 0.0230, 98.51, 95.40
42, 0.0236, 98.51, 95.38
43, 0.0263, 98.31, 95.28
44, 0.0257, 98.44, 95.20
45, 0.0249, 98.36, 95.12
46, 0.0232, 98.40, 95.23
47, 0.0219, 98.43, 95.15
48, 0.0217, 98.53, 95.38
49, 0.0215, 98.29, 95.15
50, 0.0212, 98.57, 95.33
51, 0.0202, 98.61, 95.17
52, 0.0203, 98.57, 95.03
53, 0.0193, 98.63, 95.33
54, 0.0187, 98.70, 95.35
55, 0.0185, 98.64, 95.35
56, 0.0181, 98.64, 95.28
57, 0.0179, 98.61, 95.28
58, 0.0182, 98.71, 95.28
59, 0.0177, 98.67, 95.15
60, 0.0173, 98.66, 95.12
61, 0.0169, 98.66, 95.20
62, 0.0201, 98.43, 94.53
63, 0.0218, 98.57, 95.03
64, 0.0214, 98.60, 95.23
65, 0.0195, 98.59, 95.17
66, 0.0184, 98.73, 95.43
67, 0.0179, 98.73, 94.97
68, 0.0198, 98.63, 95.03
69, 0.0188, 98.74, 95.25
70, 0.0197, 98.76, 95.03
71, 0.0196, 98.63, 94.92
72, 0.0218, 98.71, 95.05
73, 0.0192, 98.77, 94.95
74, 0.0219, 98.41, 94.90
75, 0.0188, 98.80, 95.15
76, 0.0180, 98.81, 94.92
77, 0.0171, 98.86, 95.20
78, 0.0166, 98.81, 95.17
79, 0.0162, 98.86, 95.38
80, 0.0164, 98.89, 95.33
81, 0.0151, 98.90, 95.20
82, 0.0149, 98.90, 95.33
83, 0.0147, 98.94, 95.35
84, 0.0145, 98.94, 95.35
85, 0.0144, 98.94, 95.45
86, 0.0143, 98.94, 95.40
87, 0.0142, 98.94, 95.45
88, 0.0141, 98.96, 95.40
89, 0.0141, 98.96, 95.47
90, 0.0140, 98.94, 95.45
91, 0.0140, 98.94, 95.45
92, 0.0139, 98.94, 95.45
93, 0.0139, 98.96, 95.40
94, 0.0138, 98.96, 95.40
95, 0.0137, 98.96, 95.47
96, 0.0137, 98.94, 95.43
97, 0.0137, 98.96, 95.33
98, 0.0137, 98.96, 95.38
99, 0.0147, 98.96, 95.33
100, 0.0145, 98.93, 95.40

