
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-20-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9311, 23.37, 23.40
2, 0.8531, 32.41, 31.55
3, 0.8086, 45.60, 45.23
4, 0.7509, 55.49, 55.12
5, 0.6858, 63.56, 63.15
6, 0.6179, 72.26, 72.20
7, 0.5526, 78.71, 78.90
8, 0.4930, 82.80, 82.85
9, 0.4412, 85.23, 85.47
10, 0.3983, 86.79, 86.75
11, 0.3638, 87.67, 87.72
12, 0.3358, 88.44, 88.58
13, 0.3130, 88.99, 89.00
14, 0.2939, 89.41, 89.33
15, 0.2778, 89.83, 89.65
16, 0.2640, 90.31, 89.98
17, 0.2520, 90.54, 90.00
18, 0.2416, 90.91, 90.35
19, 0.2323, 91.24, 90.58
20, 0.2240, 91.53, 90.77
21, 0.2166, 91.66, 91.03
22, 0.2099, 91.79, 91.25
23, 0.2038, 91.97, 91.33
24, 0.1983, 92.21, 91.35
25, 0.1932, 92.29, 91.57
26, 0.1884, 92.33, 91.70
27, 0.1841, 92.51, 91.80
28, 0.1801, 92.63, 91.97
29, 0.1763, 92.73, 92.07
30, 0.1728, 92.74, 92.12
31, 0.1695, 92.80, 92.12
32, 0.1664, 92.83, 92.20
33, 0.1636, 92.84, 92.33
34, 0.1608, 92.94, 92.45
35, 0.1582, 93.06, 92.55
36, 0.1558, 93.16, 92.62
37, 0.1535, 93.31, 92.67
38, 0.1513, 93.41, 92.75
39, 0.1492, 93.49, 92.75
40, 0.1472, 93.59, 92.80
41, 0.1453, 93.61, 92.95
42, 0.1435, 93.70, 92.95
43, 0.1418, 93.77, 93.03
44, 0.1401, 93.84, 93.05
45, 0.1385, 93.90, 93.08
46, 0.1370, 93.94, 93.10
47, 0.1355, 93.97, 93.12
48, 0.1341, 94.01, 93.17
49, 0.1327, 94.09, 93.23
50, 0.1314, 94.10, 93.33
51, 0.1301, 94.14, 93.33
52, 0.1289, 94.17, 93.38
53, 0.1277, 94.24, 93.40
54, 0.1266, 94.33, 93.42
55, 0.1255, 94.36, 93.42
56, 0.1244, 94.43, 93.50
57, 0.1234, 94.44, 93.55
58, 0.1224, 94.44, 93.62
59, 0.1214, 94.46, 93.62
60, 0.1204, 94.47, 93.70
61, 0.1195, 94.51, 93.75
62, 0.1186, 94.54, 93.75
63, 0.1177, 94.54, 93.80
64, 0.1169, 94.56, 93.83
65, 0.1160, 94.59, 93.83
66, 0.1152, 94.64, 93.85
67, 0.1144, 94.73, 93.88
68, 0.1137, 94.77, 93.88
69, 0.1129, 94.80, 94.00
70, 0.1122, 94.81, 94.05
71, 0.1115, 94.86, 94.05
72, 0.1108, 94.87, 94.05
73, 0.1101, 94.90, 94.08
74, 0.1094, 94.96, 94.15
75, 0.1088, 94.96, 94.17
76, 0.1081, 94.96, 94.20
77, 0.1075, 94.94, 94.23
78, 0.1069, 94.97, 94.25
79, 0.1063, 94.99, 94.25
80, 0.1057, 95.03, 94.27
81, 0.1051, 95.04, 94.33
82, 0.1046, 95.04, 94.33
83, 0.1040, 95.04, 94.38
84, 0.1035, 95.07, 94.38
85, 0.1029, 95.09, 94.38
86, 0.1024, 95.13, 94.42
87, 0.1019, 95.13, 94.42
88, 0.1014, 95.16, 94.45
89, 0.1009, 95.20, 94.45
90, 0.1004, 95.23, 94.45
91, 0.0999, 95.23, 94.47
92, 0.0994, 95.27, 94.50
93, 0.0990, 95.29, 94.62
94, 0.0985, 95.30, 94.65
95, 0.0981, 95.34, 94.67
96, 0.0976, 95.39, 94.65
97, 0.0972, 95.41, 94.67
98, 0.0967, 95.41, 94.70
99, 0.0963, 95.43, 94.77
100, 0.0959, 95.43, 94.77

