
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-15-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 8.6420, 17.39, 17.70
2, 9.3078, 20.51, 20.25
3, 9.0501, 8.91, 8.97
4, 8.9724, 9.63, 8.92
5, 8.9978, 11.20, 11.40
6, 8.9864, 9.94, 10.00
7, 8.9683, 10.56, 10.62
8, 8.9375, 13.37, 13.75
9, 8.9298, 14.69, 14.60
10, 8.9497, 15.00, 14.95
11, 8.9198, 18.83, 19.12
12, 8.9362, 15.56, 16.05
13, 8.8846, 17.40, 18.22
14, 8.8154, 13.91, 14.37
15, 8.8827, 10.21, 10.20
16, 8.9355, 18.59, 18.62
17, 8.9697, 14.04, 14.80
18, 8.9223, 13.13, 13.65
19, 8.8866, 18.77, 18.65
20, 8.8698, 18.89, 18.52
21, 8.9340, 16.76, 15.88
22, 8.8943, 18.80, 18.22
23, 8.9211, 11.99, 11.12
24, 8.8838, 21.09, 20.82
25, 8.7860, 19.16, 19.28
26, 8.8903, 17.09, 16.28
27, 8.9153, 12.34, 12.10
28, 8.8761, 17.43, 16.78
29, 8.8901, 14.99, 14.27
30, 8.9906, 16.21, 15.80
31, 8.9767, 15.93, 15.68
32, 8.9814, 16.07, 15.60
33, 9.0133, 10.57, 10.67
34, 8.9983, 10.74, 10.85
35, 9.0065, 10.20, 10.08
36, 8.9737, 9.99, 10.00
37, 8.9754, 9.87, 9.75
38, 8.9449, 9.20, 9.43
39, 8.9487, 9.59, 9.57
40, 8.9303, 8.04, 8.08
41, 8.9389, 6.31, 6.42
42, 8.9240, 4.63, 4.67
43, 8.9323, 7.04, 6.73
44, 8.9105, 4.29, 4.40
45, 8.9007, 4.20, 3.98
46, 8.9180, 10.71, 10.45
47, 8.9805, 14.21, 14.17
48, 8.9660, 13.51, 13.43
49, 8.9386, 11.80, 11.47
50, 8.9975, 11.89, 11.62
51, 8.9997, 11.90, 11.55
52, 8.9996, 11.84, 11.68
53, 8.9990, 11.89, 11.65
54, 8.9990, 11.93, 11.60
55, 8.9997, 11.86, 11.58
56, 8.9988, 11.79, 11.45
57, 8.9995, 11.94, 11.70
58, 8.9998, 11.84, 11.58
59, 8.9951, 9.64, 10.12
60, 8.9637, 9.97, 10.22
61, 8.9506, 9.71, 9.83
62, 8.9563, 11.96, 11.80
63, 8.9982, 15.43, 15.20
64, 8.9995, 15.29, 15.07
65, 8.9464, 15.20, 15.15
66, 8.9228, 14.74, 14.25
67, 8.9556, 19.80, 19.73
68, 8.9438, 20.04, 19.88
69, 8.9621, 10.96, 10.82
70, 8.9955, 10.84, 10.65
71, 8.9918, 19.47, 19.30
72, 8.9673, 19.36, 19.20
73, 8.9337, 11.00, 11.22
74, 8.9740, 17.14, 16.80
75, 8.9392, 21.11, 20.62
76, 8.9501, 18.03, 17.72
77, 9.0000, 18.06, 17.72
78, 8.9656, 18.80, 18.73
79, 8.9753, 18.63, 18.27
80, 8.9719, 16.20, 15.88
81, 8.8380, 17.37, 17.35
82, 8.8535, 21.47, 20.88
83, 8.8434, 17.53, 16.98
84, 8.8063, 16.46, 15.70
85, 8.8199, 18.10, 17.38
86, 8.8671, 16.54, 16.48
87, 8.9421, 22.41, 21.95
88, 8.6578, 19.43, 18.82
89, 8.7908, 20.30, 19.68
90, 8.8887, 11.80, 11.53
91, 8.9671, 18.77, 18.62
92, 8.9880, 18.50, 18.22
93, 8.9565, 18.24, 18.05
94, 8.9783, 18.43, 18.12
95, 8.9580, 16.74, 16.57
96, 8.9386, 14.50, 14.30
97, 8.8912, 13.94, 13.70
98, 8.9914, 13.94, 13.70
99, 8.9946, 13.94, 13.70
100, 8.9961, 13.94, 13.70

