
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-20-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.6862, 84.26, 84.70
2, 0.3054, 89.63, 89.08
3, 0.2118, 91.50, 90.77
4, 0.1745, 92.60, 91.47
5, 0.1525, 93.34, 92.38
6, 0.1371, 93.83, 92.88
7, 0.1251, 94.39, 93.15
8, 0.1160, 94.56, 93.60
9, 0.1091, 94.69, 93.73
10, 0.1034, 95.00, 93.85
11, 0.0986, 95.16, 94.08
12, 0.0944, 95.51, 94.20
13, 0.0908, 95.59, 94.40
14, 0.0876, 95.67, 94.47
15, 0.0847, 95.87, 94.50
16, 0.0821, 95.94, 94.60
17, 0.0797, 96.07, 94.70
18, 0.0776, 96.11, 94.75
19, 0.0756, 96.26, 94.88
20, 0.0737, 96.36, 94.95
21, 0.0720, 96.46, 95.10
22, 0.0704, 96.53, 95.10
23, 0.0689, 96.64, 95.12
24, 0.0675, 96.73, 95.12
25, 0.0662, 96.79, 95.17
26, 0.0650, 96.81, 95.20
27, 0.0638, 96.89, 95.20
28, 0.0627, 96.99, 95.20
29, 0.0616, 97.04, 95.23
30, 0.0606, 97.04, 95.23
31, 0.0597, 97.07, 95.20
32, 0.0588, 97.11, 95.20
33, 0.0580, 97.13, 95.20
34, 0.0571, 97.13, 95.17
35, 0.0564, 97.17, 95.15
36, 0.0556, 97.17, 95.17
37, 0.0549, 97.21, 95.15
38, 0.0542, 97.27, 95.15
39, 0.0536, 97.34, 95.20
40, 0.0529, 97.34, 95.20
41, 0.0523, 97.36, 95.23
42, 0.0517, 97.43, 95.25
43, 0.0511, 97.44, 95.28
44, 0.0506, 97.46, 95.28
45, 0.0500, 97.50, 95.28
46, 0.0495, 97.50, 95.33
47, 0.0490, 97.51, 95.35
48, 0.0485, 97.57, 95.35
49, 0.0480, 97.61, 95.38
50, 0.0475, 97.66, 95.40
51, 0.0471, 97.66, 95.40
52, 0.0466, 97.70, 95.40
53, 0.0462, 97.73, 95.40
54, 0.0458, 97.76, 95.45
55, 0.0454, 97.77, 95.45
56, 0.0450, 97.79, 95.45
57, 0.0446, 97.83, 95.50
58, 0.0442, 97.86, 95.53
59, 0.0438, 97.86, 95.53
60, 0.0435, 97.90, 95.53
61, 0.0431, 97.91, 95.53
62, 0.0428, 97.93, 95.50
63, 0.0425, 97.93, 95.50
64, 0.0421, 97.93, 95.50
65, 0.0418, 97.94, 95.53
66, 0.0415, 97.96, 95.55
67, 0.0412, 97.97, 95.53
68, 0.0409, 97.99, 95.53
69, 0.0406, 98.01, 95.55
70, 0.0404, 98.01, 95.55
71, 0.0401, 98.01, 95.55
72, 0.0398, 98.04, 95.58
73, 0.0396, 98.04, 95.60
74, 0.0393, 98.04, 95.62
75, 0.0390, 98.06, 95.65
76, 0.0388, 98.07, 95.70
77, 0.0385, 98.09, 95.70
78, 0.0383, 98.10, 95.70
79, 0.0381, 98.13, 95.70
80, 0.0378, 98.14, 95.67
81, 0.0376, 98.14, 95.65
82, 0.0374, 98.14, 95.65
83, 0.0372, 98.14, 95.65
84, 0.0369, 98.17, 95.65
85, 0.0367, 98.17, 95.67
86, 0.0365, 98.17, 95.67
87, 0.0363, 98.16, 95.73
88, 0.0361, 98.20, 95.73
89, 0.0359, 98.20, 95.73
90, 0.0357, 98.20, 95.73
91, 0.0355, 98.20, 95.73
92, 0.0353, 98.20, 95.73
93, 0.0351, 98.20, 95.67
94, 0.0349, 98.20, 95.67
95, 0.0347, 98.21, 95.67
96, 0.0345, 98.24, 95.70
97, 0.0344, 98.24, 95.70
98, 0.0342, 98.24, 95.70
99, 0.0340, 98.24, 95.70
100, 0.0338, 98.24, 95.70

