
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-10-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 9.0598, 9.94, 10.08
2, 9.3156, 15.19, 15.47
3, 9.4000, 15.19, 15.47
4, 9.4022, 15.19, 15.47
5, 9.3905, 13.56, 13.98
6, 9.3852, 13.90, 14.27
7, 9.1543, 10.67, 10.70
8, 9.0290, 10.03, 9.98
9, 8.9985, 10.87, 10.88
10, 8.9894, 11.16, 11.25
11, 8.9800, 14.86, 15.38
12, 9.0082, 17.43, 16.93
13, 8.9864, 17.73, 17.82
14, 9.0704, 14.39, 14.17
15, 8.9998, 14.39, 14.20
16, 8.9855, 13.69, 13.45
17, 9.0738, 17.73, 17.72
18, 9.0191, 12.99, 12.65
19, 8.9952, 11.06, 11.40
20, 8.9999, 12.54, 12.53
21, 9.0000, 12.53, 12.50
22, 8.9999, 12.53, 12.50
23, 9.0000, 12.53, 12.50
24, 9.0000, 12.53, 12.50
25, 9.0000, 12.53, 12.50
26, 9.0000, 12.54, 12.50
27, 9.0000, 12.54, 12.50
28, 8.9999, 12.56, 12.50
29, 8.9998, 12.53, 12.50
30, 8.9998, 12.53, 12.50
31, 9.0000, 12.53, 12.50
32, 8.9999, 12.53, 12.50
33, 8.9998, 12.53, 12.50
34, 9.0000, 12.53, 12.50
35, 9.0000, 12.53, 12.50
36, 9.0000, 12.53, 12.50
37, 9.0000, 12.53, 12.50
38, 8.9997, 12.53, 12.50
39, 9.0000, 12.53, 12.50
40, 9.0000, 12.53, 12.50
41, 9.0000, 12.54, 12.50
42, 8.9999, 11.10, 11.40
43, 9.0000, 12.57, 12.53
44, 8.9998, 12.56, 12.50
45, 8.9998, 12.53, 12.50
46, 9.0000, 12.53, 12.50
47, 9.0000, 12.53, 12.50
48, 9.0000, 12.53, 12.50
49, 9.0000, 12.53, 12.50
50, 9.0000, 12.53, 12.50
51, 9.0000, 12.53, 12.50
52, 9.0000, 12.53, 12.50
53, 9.0000, 12.53, 12.50
54, 8.9999, 12.53, 12.50
55, 9.0000, 12.53, 12.50
56, 8.9999, 12.53, 12.50
57, 9.0000, 12.53, 12.50
58, 9.0000, 12.53, 12.50
59, 9.0000, 12.53, 12.50
60, 9.0000, 12.53, 12.50
61, 9.0000, 12.53, 12.50
62, 9.0000, 12.53, 12.50
63, 8.9999, 12.53, 12.50
64, 9.0000, 12.54, 12.50
65, 8.9999, 12.56, 12.50
66, 8.9998, 12.56, 12.50
67, 8.9999, 12.56, 12.50
68, 8.9997, 12.54, 12.53
69, 9.0000, 12.53, 12.50
70, 8.9999, 12.53, 12.50
71, 9.0000, 12.53, 12.50
72, 9.0000, 12.53, 12.50
73, 9.0000, 12.53, 12.50
74, 8.9999, 11.11, 11.33
75, 9.0000, 11.11, 11.33
76, 9.0000, 11.13, 11.33
77, 8.9999, 11.14, 11.30
78, 9.0000, 11.11, 11.30
79, 9.0000, 11.11, 11.30
80, 9.0000, 11.11, 11.33
81, 9.0000, 11.10, 11.38
82, 8.9999, 11.20, 11.40
83, 8.9999, 12.59, 12.55
84, 9.0000, 12.57, 12.53
85, 8.9999, 12.57, 12.53
86, 9.0000, 12.57, 12.53
87, 9.0000, 12.57, 12.53
88, 8.9999, 11.17, 11.35
89, 9.0000, 11.16, 11.33
90, 8.9999, 11.16, 11.33
91, 9.0000, 11.14, 11.33
92, 8.9999, 11.16, 11.33
93, 9.0000, 11.14, 11.33
94, 9.0000, 11.14, 11.33
95, 9.0000, 11.13, 11.30
96, 9.0000, 11.10, 11.30
97, 9.0000, 11.10, 11.30
98, 9.0000, 11.10, 11.30
99, 8.9998, 11.09, 11.35
100, 8.9998, 11.27, 11.40

