
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-20-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.6488, 78.53, 77.92
2, 0.4968, 82.60, 82.05
3, 0.4440, 85.03, 84.42
4, 0.4220, 87.20, 86.28
5, 0.3900, 89.43, 88.70
6, 0.3649, 90.06, 89.10
7, 0.3510, 90.59, 89.83
8, 0.3432, 91.04, 90.50
9, 0.3386, 91.47, 90.95
10, 0.3356, 91.70, 91.10
11, 0.3333, 91.76, 91.17
12, 0.3315, 91.80, 91.35
13, 0.3300, 91.86, 91.40
14, 0.3287, 91.91, 91.47
15, 0.3277, 91.97, 91.40
16, 0.3269, 91.97, 91.50
17, 0.3261, 92.03, 91.50
18, 0.3255, 92.09, 91.55
19, 0.3250, 92.13, 91.57
20, 0.3245, 92.19, 91.57
21, 0.3241, 92.23, 91.70
22, 0.3237, 92.23, 91.67
23, 0.3234, 92.20, 91.65
24, 0.3231, 92.23, 91.60
25, 0.3228, 92.17, 91.60
26, 0.3226, 92.14, 91.53
27, 0.3224, 92.16, 91.53
28, 0.3222, 92.16, 91.47
29, 0.3220, 92.16, 91.45
30, 0.3218, 92.17, 91.50
31, 0.3216, 92.19, 91.40
32, 0.3215, 92.16, 91.42
33, 0.3213, 92.16, 91.40
34, 0.3212, 92.13, 91.35
35, 0.3211, 92.09, 91.33
36, 0.3210, 92.06, 91.35
37, 0.3208, 92.04, 91.33
38, 0.3207, 92.10, 91.22
39, 0.3206, 92.10, 91.20
40, 0.3206, 92.17, 91.22
41, 0.3205, 92.19, 91.25
42, 0.3204, 92.21, 91.12
43, 0.3204, 92.23, 91.20
44, 0.3203, 92.29, 91.17
45, 0.3203, 92.27, 91.12
46, 0.3202, 92.26, 91.15
47, 0.3202, 92.29, 91.12
48, 0.3201, 92.29, 91.15
49, 0.3200, 92.29, 91.15
50, 0.3199, 92.30, 91.10
51, 0.3198, 92.33, 91.15
52, 0.3197, 92.34, 91.10
53, 0.3196, 92.36, 91.07
54, 0.3195, 92.36, 91.12
55, 0.3195, 92.37, 91.12
56, 0.3194, 92.40, 91.12
57, 0.3194, 92.46, 91.15
58, 0.3194, 92.51, 91.12
59, 0.3193, 92.53, 91.17
60, 0.3193, 92.56, 91.12
61, 0.3193, 92.54, 91.12
62, 0.3193, 92.53, 91.20
63, 0.3194, 92.53, 91.20
64, 0.3194, 92.54, 91.17
65, 0.3194, 92.59, 91.17
66, 0.3194, 92.63, 91.17
67, 0.3194, 92.63, 91.22
68, 0.3194, 92.63, 91.17
69, 0.3194, 92.61, 91.17
70, 0.3194, 92.60, 91.15
71, 0.3194, 92.61, 91.17
72, 0.3194, 92.61, 91.17
73, 0.3194, 92.60, 91.20
74, 0.3194, 92.56, 91.15
75, 0.3193, 92.53, 91.10
76, 0.3193, 92.53, 91.10
77, 0.3193, 92.50, 91.03
78, 0.3193, 92.50, 91.03
79, 0.3192, 92.49, 90.95
80, 0.3192, 92.43, 90.92
81, 0.3192, 92.43, 90.90
82, 0.3192, 92.40, 90.92
83, 0.3192, 92.43, 90.97
84, 0.3192, 92.47, 91.00
85, 0.3192, 92.49, 91.03
86, 0.3192, 92.51, 91.05
87, 0.3192, 92.51, 91.07
88, 0.3192, 92.56, 91.07
89, 0.3192, 92.56, 91.07
90, 0.3192, 92.59, 91.12
91, 0.3191, 92.60, 91.12
92, 0.3191, 92.61, 91.15
93, 0.3191, 92.61, 91.17
94, 0.3191, 92.64, 91.15
95, 0.3191, 92.64, 91.15
96, 0.3191, 92.66, 91.12
97, 0.3191, 92.67, 91.07
98, 0.3191, 92.67, 91.07
99, 0.3190, 92.67, 91.12
100, 0.3190, 92.64, 91.15

