
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-5-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.7146, 56.71, 56.80
2, 0.6375, 58.24, 58.17
3, 0.6325, 58.44, 58.67
4, 0.6292, 57.67, 57.63
5, 0.6213, 52.69, 52.68
6, 0.6065, 52.77, 52.75
7, 0.6023, 53.00, 53.10
8, 0.6005, 53.14, 53.27
9, 0.5993, 53.23, 53.40
10, 0.5984, 53.33, 53.42
11, 0.5976, 53.46, 53.62
12, 0.5970, 53.53, 53.67
13, 0.5965, 53.57, 53.75
14, 0.5961, 53.64, 53.80
15, 0.5956, 53.76, 53.90
16, 0.5953, 53.84, 54.00
17, 0.5950, 53.97, 54.00
18, 0.5947, 54.01, 54.12
19, 0.5944, 54.09, 54.12
20, 0.5941, 54.10, 54.15
21, 0.5939, 54.17, 54.20
22, 0.5937, 54.20, 54.25
23, 0.5935, 54.21, 54.30
24, 0.5933, 54.27, 54.35
25, 0.5932, 54.27, 54.37
26, 0.5930, 54.29, 54.40
27, 0.5929, 54.31, 54.40
28, 0.5927, 54.34, 54.43
29, 0.5926, 54.39, 54.43
30, 0.5925, 54.41, 54.43
31, 0.5924, 54.43, 54.43
32, 0.5923, 54.49, 54.40
33, 0.5922, 54.53, 54.43
34, 0.5921, 54.53, 54.43
35, 0.5920, 54.56, 54.43
36, 0.5919, 54.60, 54.40
37, 0.5918, 54.63, 54.45
38, 0.5917, 54.63, 54.40
39, 0.5916, 54.63, 54.40
40, 0.5915, 54.63, 54.40
41, 0.5914, 54.61, 54.40
42, 0.5914, 54.61, 54.40
43, 0.5913, 54.61, 54.43
44, 0.5912, 54.61, 54.45
45, 0.5911, 54.63, 54.45
46, 0.5911, 54.63, 54.45
47, 0.5910, 54.61, 54.45
48, 0.5909, 54.61, 54.45
49, 0.5909, 54.64, 54.47
50, 0.5908, 54.67, 54.50
51, 0.5908, 54.67, 54.50
52, 0.5907, 54.66, 54.52
53, 0.5906, 54.69, 54.52
54, 0.5906, 54.69, 54.55
55, 0.5905, 54.69, 54.50
56, 0.5905, 54.69, 54.52
57, 0.5904, 54.69, 54.52
58, 0.5904, 54.69, 54.55
59, 0.5903, 54.69, 54.55
60, 0.5903, 54.69, 54.55
61, 0.5903, 54.70, 54.55
62, 0.5902, 54.70, 54.55
63, 0.5902, 54.71, 54.55
64, 0.5901, 54.71, 54.55
65, 0.5901, 54.73, 54.57
66, 0.5900, 54.73, 54.55
67, 0.5900, 54.73, 54.57
68, 0.5900, 54.73, 54.57
69, 0.5899, 54.71, 54.57
70, 0.5899, 54.71, 54.57
71, 0.5899, 54.71, 54.57
72, 0.5898, 54.71, 54.57
73, 0.5898, 54.73, 54.55
74, 0.5898, 54.73, 54.55
75, 0.5897, 54.73, 54.55
76, 0.5897, 54.73, 54.55
77, 0.5897, 54.73, 54.57
78, 0.5896, 54.73, 54.57
79, 0.5896, 54.73, 54.57
80, 0.5896, 54.73, 54.57
81, 0.5895, 54.74, 54.57
82, 0.5895, 54.74, 54.57
83, 0.5895, 54.76, 54.55
84, 0.5895, 54.76, 54.55
85, 0.5894, 54.76, 54.55
86, 0.5894, 54.76, 54.55
87, 0.5894, 54.76, 54.55
88, 0.5894, 54.77, 54.55
89, 0.5893, 54.77, 54.55
90, 0.5893, 54.79, 54.55
91, 0.5893, 54.79, 54.60
92, 0.5893, 54.79, 54.60
93, 0.5892, 54.79, 54.60
94, 0.5892, 54.79, 54.60
95, 0.5892, 54.79, 54.60
96, 0.5892, 54.76, 54.60
97, 0.5892, 54.77, 54.60
98, 0.5892, 54.79, 54.60
99, 0.5891, 54.80, 54.60
100, 0.5891, 54.79, 54.62

