
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-5-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9103, 36.09, 36.38
2, 0.7747, 50.61, 50.80
3, 0.6334, 63.74, 63.78
4, 0.5283, 71.80, 70.93
5, 0.4606, 76.81, 76.22
6, 0.4065, 80.86, 80.58
7, 0.3584, 83.57, 83.70
8, 0.3169, 84.87, 85.00
9, 0.2875, 86.57, 86.25
10, 0.2664, 87.40, 86.83
11, 0.2499, 88.16, 87.83
12, 0.2366, 88.74, 88.15
13, 0.2260, 89.03, 88.42
14, 0.2174, 89.20, 88.70
15, 0.2103, 89.40, 88.85
16, 0.2044, 89.60, 89.10
17, 0.1994, 89.79, 89.12
18, 0.1950, 89.91, 89.18
19, 0.1913, 90.07, 89.30
20, 0.1880, 90.21, 89.48
21, 0.1850, 90.26, 89.48
22, 0.1823, 90.40, 89.40
23, 0.1799, 90.53, 89.65
24, 0.1777, 90.57, 89.68
25, 0.1756, 90.64, 89.70
26, 0.1737, 90.73, 89.78
27, 0.1719, 90.86, 89.80
28, 0.1703, 90.99, 89.85
29, 0.1687, 90.97, 89.95
30, 0.1673, 91.01, 89.95
31, 0.1659, 91.04, 90.05
32, 0.1646, 91.20, 90.05
33, 0.1634, 91.19, 90.03
34, 0.1622, 91.24, 90.05
35, 0.1611, 91.34, 90.15
36, 0.1600, 91.34, 90.30
37, 0.1590, 91.44, 90.28
38, 0.1581, 91.53, 90.22
39, 0.1572, 91.56, 90.20
40, 0.1563, 91.59, 90.22
41, 0.1555, 91.59, 90.22
42, 0.1547, 91.60, 90.22
43, 0.1539, 91.63, 90.22
44, 0.1531, 91.67, 90.15
45, 0.1524, 91.70, 90.22
46, 0.1517, 91.77, 90.18
47, 0.1511, 91.83, 90.20
48, 0.1504, 91.84, 90.12
49, 0.1498, 91.86, 90.12
50, 0.1492, 91.90, 90.12
51, 0.1486, 91.96, 90.10
52, 0.1480, 92.00, 90.10
53, 0.1475, 92.03, 90.12
54, 0.1470, 92.06, 90.12
55, 0.1465, 92.10, 90.10
56, 0.1460, 92.09, 90.10
57, 0.1455, 92.07, 90.08
58, 0.1450, 92.07, 90.08
59, 0.1446, 92.13, 90.10
60, 0.1441, 92.16, 90.12
61, 0.1437, 92.13, 90.10
62, 0.1433, 92.11, 90.08
63, 0.1429, 92.14, 90.00
64, 0.1425, 92.13, 89.95
65, 0.1421, 92.11, 89.92
66, 0.1418, 92.20, 90.00
67, 0.1414, 92.17, 90.00
68, 0.1411, 92.20, 90.05
69, 0.1407, 92.23, 90.03
70, 0.1404, 92.21, 90.03
71, 0.1401, 92.26, 89.92
72, 0.1397, 92.26, 89.95
73, 0.1394, 92.26, 89.92
74, 0.1391, 92.24, 89.92
75, 0.1388, 92.21, 89.95
76, 0.1385, 92.24, 89.98
77, 0.1383, 92.27, 90.05
78, 0.1380, 92.29, 90.08
79, 0.1377, 92.26, 90.08
80, 0.1375, 92.24, 90.10
81, 0.1372, 92.27, 90.10
82, 0.1369, 92.21, 90.12
83, 0.1367, 92.20, 90.18
84, 0.1365, 92.17, 90.20
85, 0.1362, 92.19, 90.20
86, 0.1360, 92.21, 90.18
87, 0.1358, 92.21, 90.22
88, 0.1355, 92.21, 90.20
89, 0.1353, 92.21, 90.20
90, 0.1351, 92.20, 90.18
91, 0.1349, 92.23, 90.15
92, 0.1347, 92.24, 90.15
93, 0.1345, 92.27, 90.18
94, 0.1343, 92.30, 90.20
95, 0.1341, 92.33, 90.20
96, 0.1339, 92.33, 90.18
97, 0.1337, 92.33, 90.25
98, 0.1335, 92.39, 90.25
99, 0.1333, 92.41, 90.33
100, 0.1331, 92.43, 90.33

