
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-30-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.2623, 92.33, 92.12
2, 0.1120, 95.04, 94.38
3, 0.0891, 95.91, 95.33
4, 0.0746, 96.57, 95.95
5, 0.0654, 97.04, 95.88
6, 0.0580, 97.19, 95.78
7, 0.0519, 97.47, 95.85
8, 0.0466, 97.56, 95.88
9, 0.0437, 97.70, 95.80
10, 0.0403, 97.91, 96.00
11, 0.0372, 97.91, 95.93
12, 0.0359, 98.07, 95.95
13, 0.0337, 98.13, 96.10
14, 0.0314, 98.16, 96.40
15, 0.0297, 98.33, 96.50
16, 0.0293, 98.21, 96.23
17, 0.0275, 98.29, 96.20
18, 0.0249, 98.46, 96.40
19, 0.0240, 98.37, 96.28
20, 0.0234, 98.50, 96.38
21, 0.0213, 98.59, 96.30
22, 0.0204, 98.63, 96.45
23, 0.0193, 98.73, 96.47
24, 0.0188, 98.79, 96.50
25, 0.0183, 98.76, 96.58
26, 0.0178, 98.77, 96.43
27, 0.0174, 98.77, 96.45
28, 0.0169, 98.76, 96.38
29, 0.0162, 98.79, 96.58
30, 0.0160, 98.76, 96.38
31, 0.0154, 98.86, 96.55
32, 0.0150, 98.91, 96.47
33, 0.0146, 98.89, 96.53
34, 0.0144, 98.91, 96.65
35, 0.0140, 98.87, 96.58
36, 0.0137, 98.94, 96.67
37, 0.0134, 98.99, 96.70
38, 0.0132, 99.00, 96.70
39, 0.0130, 99.00, 96.70
40, 0.0128, 99.01, 96.67
41, 0.0126, 99.03, 96.65
42, 0.0124, 99.04, 96.62
43, 0.0123, 99.04, 96.62
44, 0.0120, 99.07, 96.65
45, 0.0119, 99.07, 96.55
46, 0.0120, 99.09, 96.65
47, 0.0118, 99.09, 96.50
48, 0.0115, 99.09, 96.53
49, 0.0114, 99.10, 96.50
50, 0.0112, 99.10, 96.47
51, 0.0112, 99.10, 96.50
52, 0.0110, 99.10, 96.50
53, 0.0109, 99.10, 96.55
54, 0.0108, 99.11, 96.55
55, 0.0108, 99.13, 96.55
56, 0.0107, 99.13, 96.55
57, 0.0107, 99.13, 96.55
58, 0.0107, 99.13, 96.55
59, 0.0106, 99.13, 96.58
60, 0.0106, 99.13, 96.58
61, 0.0104, 99.13, 96.60
62, 0.0104, 99.13, 96.58
63, 0.0103, 99.13, 96.58
64, 0.0103, 99.13, 96.50
65, 0.0103, 99.13, 96.50
66, 0.0102, 99.13, 96.47
67, 0.0101, 99.13, 96.47
68, 0.0100, 99.14, 96.47
69, 0.0100, 99.14, 96.50
70, 0.0100, 99.17, 96.45
71, 0.0099, 99.19, 96.50
72, 0.0098, 99.19, 96.53
73, 0.0096, 99.19, 96.50
74, 0.0096, 99.19, 96.50
75, 0.0095, 99.19, 96.47
76, 0.0095, 99.19, 96.45
77, 0.0093, 99.19, 96.45
78, 0.0093, 99.19, 96.53
79, 0.0093, 99.20, 96.53
80, 0.0093, 99.20, 96.47
81, 0.0092, 99.20, 96.47
82, 0.0092, 99.20, 96.47
83, 0.0092, 99.20, 96.50
84, 0.0092, 99.20, 96.58
85, 0.0091, 99.20, 96.50
86, 0.0090, 99.20, 96.53
87, 0.0090, 99.20, 96.53
88, 0.0090, 99.20, 96.53
89, 0.0090, 99.20, 96.53
90, 0.0090, 99.20, 96.55
91, 0.0090, 99.20, 96.53
92, 0.0089, 99.20, 96.53
93, 0.0089, 99.20, 96.53
94, 0.0089, 99.20, 96.53
95, 0.0089, 99.20, 96.53
96, 0.0089, 99.20, 96.53
97, 0.0089, 99.20, 96.53
98, 0.0089, 99.20, 96.50
99, 0.0089, 99.20, 96.53
100, 0.0089, 99.20, 96.53

