
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-15-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.2830, 92.66, 91.80
2, 0.1334, 94.13, 92.75
3, 0.1109, 94.60, 92.97
4, 0.0965, 94.94, 93.45
5, 0.0886, 95.29, 93.55
6, 0.0837, 94.31, 93.12
7, 0.0787, 95.21, 93.73
8, 0.0733, 94.54, 92.88
9, 0.0705, 95.57, 93.70
10, 0.0661, 95.37, 93.33
11, 0.0655, 95.51, 93.62
12, 0.0653, 94.99, 92.47
13, 0.0622, 95.30, 92.85
14, 0.0603, 95.31, 92.75
15, 0.0577, 95.47, 93.08
16, 0.0554, 96.30, 94.03
17, 0.0555, 95.77, 93.30
18, 0.0519, 96.11, 93.35
19, 0.0515, 95.46, 93.23
20, 0.0504, 96.53, 94.15
21, 0.0488, 96.44, 94.45
22, 0.0454, 95.99, 94.00
23, 0.0461, 96.71, 94.23
24, 0.0459, 96.20, 93.70
25, 0.0450, 97.24, 94.67
26, 0.0427, 96.61, 94.08
27, 0.0421, 96.66, 94.33
28, 0.0407, 96.86, 94.15
29, 0.0427, 97.03, 94.50
30, 0.0412, 96.97, 94.47
31, 0.0408, 97.27, 94.80
32, 0.0407, 97.17, 94.95
33, 0.0397, 96.87, 94.65
34, 0.0386, 97.24, 94.73
35, 0.0381, 96.74, 94.33
36, 0.0402, 97.21, 94.70
37, 0.0375, 97.54, 94.97
38, 0.0383, 97.63, 94.85
39, 0.0366, 97.27, 94.55
40, 0.0375, 97.37, 94.88
41, 0.0368, 97.67, 94.92
42, 0.0367, 97.69, 94.75
43, 0.0343, 97.06, 94.42
44, 0.0351, 97.56, 94.92
45, 0.0358, 97.50, 94.80
46, 0.0353, 97.64, 94.88
47, 0.0357, 97.56, 94.70
48, 0.0324, 97.69, 94.67
49, 0.0323, 97.51, 94.83
50, 0.0316, 97.81, 94.92
51, 0.0341, 97.14, 94.58
52, 0.0325, 97.70, 94.67
53, 0.0304, 97.83, 94.90
54, 0.0346, 97.84, 94.77
55, 0.0343, 97.76, 94.62
56, 0.0329, 97.66, 94.67
57, 0.0328, 98.04, 95.03
58, 0.0318, 97.64, 94.75
59, 0.0302, 97.96, 95.00
60, 0.0333, 97.80, 94.62
61, 0.0311, 97.61, 94.65
62, 0.0305, 98.01, 94.83
63, 0.0326, 97.93, 94.67
64, 0.0316, 97.97, 94.58
65, 0.0309, 97.76, 94.77
66, 0.0309, 97.86, 94.73
67, 0.0293, 97.89, 94.80
68, 0.0311, 97.66, 94.42
69, 0.0319, 97.94, 94.88
70, 0.0298, 98.06, 94.90
71, 0.0294, 98.00, 94.90
72, 0.0287, 98.14, 94.85
73, 0.0280, 98.04, 94.77
74, 0.0286, 98.00, 94.83
75, 0.0291, 97.97, 94.92
76, 0.0298, 97.90, 94.73
77, 0.0296, 97.76, 94.50
78, 0.0290, 98.00, 95.00
79, 0.0282, 98.24, 94.80
80, 0.0260, 98.21, 94.85
81, 0.0274, 98.04, 94.90
82, 0.0295, 97.96, 94.70
83, 0.0283, 98.30, 94.95
84, 0.0292, 98.20, 95.25
85, 0.0277, 98.03, 94.83
86, 0.0275, 98.11, 94.95
87, 0.0280, 98.23, 94.90
88, 0.0280, 98.14, 95.12
89, 0.0272, 98.24, 94.92
90, 0.0278, 98.06, 95.00
91, 0.0271, 98.14, 94.67
92, 0.0251, 98.20, 94.85
93, 0.0234, 98.33, 94.95
94, 0.0232, 98.34, 94.95
95, 0.0262, 98.23, 94.88
96, 0.0261, 98.19, 94.88
97, 0.0257, 97.97, 94.80
98, 0.0237, 98.31, 94.90
99, 0.0226, 98.24, 94.88
100, 0.0227, 98.36, 95.25

