
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-5-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 1.0870, 16.17, 15.85
2, 0.8986, 18.43, 18.55
3, 0.8955, 20.57, 20.60
4, 0.8932, 21.71, 22.40
5, 0.8907, 22.17, 22.60
6, 0.8876, 22.26, 22.70
7, 0.8839, 22.29, 22.55
8, 0.8795, 22.43, 22.45
9, 0.8741, 22.63, 22.80
10, 0.8675, 23.43, 23.30
11, 0.8596, 24.17, 24.10
12, 0.8504, 25.23, 25.05
13, 0.8401, 26.69, 26.45
14, 0.8291, 28.77, 28.30
15, 0.8175, 30.74, 30.30
16, 0.8056, 33.03, 33.50
17, 0.7932, 36.29, 36.90
18, 0.7806, 39.29, 40.35
19, 0.7676, 41.46, 42.80
20, 0.7543, 44.31, 45.30
21, 0.7407, 47.23, 47.75
22, 0.7268, 50.00, 50.40
23, 0.7125, 52.74, 52.95
24, 0.6980, 55.91, 55.45
25, 0.6832, 57.80, 57.55
26, 0.6681, 59.60, 59.25
27, 0.6528, 61.09, 61.35
28, 0.6374, 62.69, 63.30
29, 0.6222, 64.09, 64.20
30, 0.6074, 64.94, 65.15
31, 0.5932, 65.83, 66.25
32, 0.5797, 66.74, 66.85
33, 0.5670, 67.40, 67.20
34, 0.5551, 68.06, 67.75
35, 0.5439, 68.49, 68.05
36, 0.5335, 69.03, 68.80
37, 0.5238, 69.74, 69.45
38, 0.5146, 70.11, 70.00
39, 0.5060, 70.63, 70.95
40, 0.4978, 71.20, 71.00
41, 0.4901, 71.69, 71.85
42, 0.4828, 72.51, 72.25
43, 0.4758, 73.09, 72.90
44, 0.4692, 73.80, 73.60
45, 0.4628, 74.71, 73.75
46, 0.4566, 75.23, 74.45
47, 0.4506, 75.51, 75.45
48, 0.4449, 76.09, 76.05
49, 0.4393, 76.66, 76.40
50, 0.4339, 77.09, 76.95
51, 0.4286, 77.34, 77.50
52, 0.4235, 77.49, 77.90
53, 0.4186, 77.89, 78.10
54, 0.4138, 78.34, 78.35
55, 0.4091, 78.54, 78.35
56, 0.4046, 78.94, 78.55
57, 0.4002, 79.09, 78.80
58, 0.3960, 79.29, 78.75
59, 0.3919, 79.54, 78.75
60, 0.3879, 79.83, 79.25
61, 0.3841, 80.11, 79.40
62, 0.3804, 80.11, 79.70
63, 0.3768, 80.20, 79.80
64, 0.3734, 80.43, 79.90
65, 0.3700, 80.49, 80.00
66, 0.3668, 80.71, 80.25
67, 0.3636, 80.97, 80.40
68, 0.3606, 81.03, 80.60
69, 0.3576, 81.06, 80.85
70, 0.3548, 81.26, 80.95
71, 0.3520, 81.51, 80.95
72, 0.3493, 81.66, 81.10
73, 0.3467, 81.86, 81.20
74, 0.3441, 82.06, 81.25
75, 0.3416, 82.34, 81.45
76, 0.3392, 82.54, 81.60
77, 0.3368, 82.83, 81.70
78, 0.3345, 83.06, 81.95
79, 0.3323, 83.20, 82.10
80, 0.3300, 83.31, 82.25
81, 0.3279, 83.46, 82.40
82, 0.3258, 83.69, 82.65
83, 0.3237, 83.94, 82.65
84, 0.3216, 84.26, 82.80
85, 0.3196, 84.37, 82.95
86, 0.3176, 84.66, 83.10
87, 0.3157, 84.94, 83.35
88, 0.3138, 85.14, 83.60
89, 0.3118, 85.34, 83.80
90, 0.3100, 85.60, 84.30
91, 0.3081, 85.86, 84.45
92, 0.3062, 86.03, 84.55
93, 0.3044, 86.37, 84.70
94, 0.3025, 86.54, 84.70
95, 0.3007, 86.74, 85.00
96, 0.2988, 87.09, 85.15
97, 0.2970, 87.23, 85.50
98, 0.2951, 87.34, 85.65
99, 0.2933, 87.43, 85.80
100, 0.2914, 87.66, 85.95

