
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-20-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8879, 35.26, 34.55
2, 0.7628, 59.80, 59.75
3, 0.5953, 76.86, 75.40
4, 0.4577, 83.37, 82.00
5, 0.3684, 87.20, 86.70
6, 0.3080, 89.57, 88.70
7, 0.2652, 90.80, 89.75
8, 0.2348, 91.57, 90.40
9, 0.2127, 92.23, 90.50
10, 0.1958, 92.69, 90.90
11, 0.1823, 93.29, 91.15
12, 0.1713, 93.66, 91.45
13, 0.1620, 93.91, 91.85
14, 0.1541, 93.94, 92.25
15, 0.1472, 94.17, 92.40
16, 0.1411, 94.37, 92.65
17, 0.1357, 94.46, 92.70
18, 0.1309, 94.71, 92.65
19, 0.1265, 94.89, 92.80
20, 0.1226, 94.94, 92.80
21, 0.1190, 95.09, 92.85
22, 0.1156, 95.23, 92.80
23, 0.1126, 95.37, 92.95
24, 0.1097, 95.51, 92.95
25, 0.1071, 95.60, 93.00
26, 0.1046, 95.60, 93.05
27, 0.1023, 95.74, 93.05
28, 0.1002, 95.83, 93.00
29, 0.0981, 95.97, 93.05
30, 0.0962, 95.97, 93.00
31, 0.0944, 95.97, 93.00
32, 0.0927, 95.97, 93.10
33, 0.0910, 96.06, 93.20
34, 0.0895, 96.17, 93.20
35, 0.0880, 96.26, 93.10
36, 0.0866, 96.29, 93.20
37, 0.0852, 96.31, 93.20
38, 0.0839, 96.46, 93.25
39, 0.0826, 96.49, 93.25
40, 0.0814, 96.60, 93.35
41, 0.0803, 96.63, 93.40
42, 0.0792, 96.69, 93.40
43, 0.0781, 96.74, 93.45
44, 0.0771, 96.80, 93.40
45, 0.0761, 96.80, 93.40
46, 0.0751, 96.83, 93.50
47, 0.0742, 96.89, 93.50
48, 0.0733, 96.94, 93.45
49, 0.0724, 97.00, 93.45
50, 0.0716, 96.97, 93.45
51, 0.0707, 97.03, 93.45
52, 0.0699, 97.03, 93.50
53, 0.0692, 97.03, 93.50
54, 0.0684, 97.06, 93.55
55, 0.0677, 97.06, 93.55
56, 0.0670, 97.09, 93.50
57, 0.0663, 97.11, 93.55
58, 0.0656, 97.11, 93.70
59, 0.0649, 97.17, 93.80
60, 0.0643, 97.23, 93.85
61, 0.0637, 97.26, 93.90
62, 0.0630, 97.29, 93.90
63, 0.0624, 97.31, 93.90
64, 0.0619, 97.31, 93.95
65, 0.0613, 97.34, 94.00
66, 0.0607, 97.43, 93.95
67, 0.0602, 97.43, 93.90
68, 0.0596, 97.43, 93.90
69, 0.0591, 97.43, 93.90
70, 0.0586, 97.49, 93.95
71, 0.0581, 97.51, 93.95
72, 0.0576, 97.51, 94.00
73, 0.0571, 97.51, 93.95
74, 0.0567, 97.51, 94.00
75, 0.0562, 97.51, 94.00
76, 0.0558, 97.51, 94.00
77, 0.0553, 97.54, 94.05
78, 0.0549, 97.57, 94.05
79, 0.0544, 97.57, 94.05
80, 0.0540, 97.57, 94.00
81, 0.0536, 97.60, 93.95
82, 0.0532, 97.60, 94.00
83, 0.0528, 97.60, 94.00
84, 0.0524, 97.60, 94.05
85, 0.0520, 97.60, 94.05
86, 0.0517, 97.60, 94.05
87, 0.0513, 97.60, 94.05
88, 0.0509, 97.60, 94.05
89, 0.0506, 97.60, 94.05
90, 0.0502, 97.60, 94.10
91, 0.0499, 97.63, 94.10
92, 0.0496, 97.66, 94.10
93, 0.0492, 97.66, 94.15
94, 0.0489, 97.69, 94.20
95, 0.0486, 97.69, 94.20
96, 0.0483, 97.69, 94.20
97, 0.0480, 97.69, 94.15
98, 0.0477, 97.69, 94.25
99, 0.0474, 97.69, 94.35
100, 0.0471, 97.71, 94.40

