
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-15-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 9.3556, 10.80, 9.60
2, 9.6410, 10.80, 9.60
3, 9.8007, 10.91, 11.15
4, 9.7925, 11.20, 11.55
5, 9.7930, 11.00, 11.40
6, 9.7932, 8.83, 9.25
7, 9.7931, 8.83, 9.25
8, 9.7931, 8.83, 9.25
9, 9.7931, 8.83, 9.25
10, 9.7931, 8.83, 9.25
11, 9.7931, 8.83, 9.25
12, 9.7931, 8.83, 9.25
13, 9.7931, 8.83, 9.25
14, 9.7931, 8.83, 9.25
15, 9.7931, 8.83, 9.25
16, 9.7931, 8.83, 9.25
17, 9.7931, 8.83, 9.25
18, 9.7931, 8.83, 9.25
19, 9.7931, 8.83, 9.25
20, 9.7931, 8.83, 9.25
21, 9.7931, 8.83, 9.25
22, 9.7931, 8.83, 9.25
23, 9.7931, 8.83, 9.25
24, 9.7931, 8.83, 9.30
25, 9.7931, 8.83, 9.35
26, 9.7931, 8.83, 9.35
27, 9.7931, 8.83, 9.35
28, 9.7931, 8.83, 9.40
29, 9.7931, 8.83, 9.40
30, 9.7931, 8.83, 9.45
31, 9.7931, 8.83, 9.45
32, 9.7931, 8.91, 9.45
33, 9.7931, 8.91, 9.50
34, 9.8624, 13.66, 11.95
35, 9.8142, 8.91, 9.60
36, 9.7931, 8.91, 9.60
37, 9.7931, 8.91, 9.60
38, 9.7931, 8.91, 9.60
39, 9.7931, 8.91, 9.60
40, 9.7931, 8.91, 9.60
41, 9.7931, 8.91, 9.60
42, 9.7931, 8.91, 9.60
43, 9.7931, 8.91, 9.60
44, 9.7931, 8.91, 9.60
45, 9.7931, 8.91, 9.60
46, 9.7931, 8.91, 9.60
47, 9.7931, 8.91, 9.60
48, 9.7931, 8.91, 9.60
49, 9.7931, 8.91, 9.60
50, 9.7931, 8.91, 9.60
51, 9.7931, 8.91, 9.60
52, 9.7931, 8.91, 9.60
53, 9.7931, 8.91, 9.60
54, 9.7931, 8.91, 9.60
55, 9.7931, 8.91, 9.60
56, 9.7931, 8.91, 9.60
57, 9.7931, 8.91, 9.60
58, 9.7931, 8.91, 9.60
59, 9.7931, 8.91, 9.60
60, 9.7931, 8.91, 9.60
61, 9.7931, 8.91, 9.60
62, 9.7931, 8.91, 9.60
63, 9.7931, 8.91, 9.60
64, 9.7931, 8.91, 9.60
65, 9.7931, 8.91, 9.60
66, 9.7931, 8.91, 9.60
67, 9.7931, 8.91, 9.60
68, 9.7931, 8.91, 9.60
69, 9.7931, 8.91, 9.60
70, 9.7931, 8.91, 9.60
71, 9.7931, 8.91, 9.60
72, 9.7931, 8.91, 9.60
73, 9.7931, 8.91, 9.60
74, 9.7931, 8.91, 9.60
75, 9.7931, 8.91, 9.60
76, 9.7931, 8.91, 9.60
77, 9.7931, 8.91, 9.60
78, 9.7931, 8.91, 9.60
79, 9.8199, 5.80, 6.00
80, 9.7911, 6.00, 6.10
81, 9.8228, 14.26, 14.45
82, 9.7931, 14.26, 14.40
83, 9.7931, 14.26, 14.40
84, 9.7931, 14.29, 14.40
85, 9.7931, 14.29, 14.40
86, 9.7931, 14.29, 14.40
87, 9.7931, 14.26, 14.40
88, 9.7931, 14.23, 14.40
89, 9.7931, 14.23, 14.40
90, 9.7931, 14.23, 14.40
91, 9.7931, 14.23, 14.40
92, 9.7931, 14.20, 14.40
93, 9.7931, 14.20, 14.40
94, 9.7931, 14.20, 14.35
95, 9.7931, 14.20, 14.35
96, 9.7931, 14.20, 14.35
97, 9.7931, 14.20, 14.35
98, 9.7931, 14.20, 14.25
99, 9.7931, 14.20, 14.20
100, 9.7931, 14.20, 14.20

