
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-5-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 3.0178, 20.09, 20.80
2, 3.1710, 29.83, 28.30
3, 2.9284, 40.34, 39.60
4, 2.8989, 38.31, 37.40
5, 2.9123, 20.40, 21.15
6, 2.8435, 29.20, 27.20
7, 2.8311, 30.23, 30.85
8, 2.8904, 29.46, 29.15
9, 2.8325, 47.57, 45.55
10, 2.8015, 24.40, 24.95
11, 2.7529, 27.57, 26.35
12, 2.7567, 24.51, 25.10
13, 2.7776, 30.43, 31.40
14, 2.7778, 12.83, 12.75
15, 2.7994, 40.57, 38.60
16, 2.7178, 27.83, 28.00
17, 2.7581, 29.60, 28.55
18, 2.8203, 29.46, 28.90
19, 2.7665, 24.60, 22.95
20, 2.7133, 34.29, 33.70
21, 2.6899, 27.77, 25.20
22, 2.6407, 32.31, 30.90
23, 2.6620, 19.31, 16.65
24, 2.6837, 37.00, 35.80
25, 2.7520, 35.69, 35.85
26, 2.7195, 24.89, 23.25
27, 2.6619, 36.49, 37.45
28, 2.6477, 42.51, 42.75
29, 2.6956, 25.40, 26.95
30, 2.5902, 28.14, 28.20
31, 2.5855, 37.51, 36.75
32, 2.6145, 37.34, 36.25
33, 2.6716, 24.40, 21.95
34, 2.6593, 45.74, 45.45
35, 2.6038, 55.14, 55.20
36, 2.5886, 37.40, 36.95
37, 2.5842, 55.00, 55.00
38, 2.5596, 35.63, 35.30
39, 2.5976, 37.43, 34.75
40, 2.5798, 47.29, 46.85
41, 2.5837, 37.57, 36.10
42, 2.6010, 37.94, 36.25
43, 2.5736, 29.54, 30.30
44, 2.5528, 28.43, 26.35
45, 2.5728, 35.77, 34.80
46, 2.5551, 46.97, 46.25
47, 2.5272, 47.51, 46.95
48, 2.5601, 55.06, 54.55
49, 2.5622, 47.17, 45.30
50, 2.5518, 54.94, 54.75
51, 2.5454, 28.94, 27.05
52, 2.5732, 36.34, 35.00
53, 2.5891, 29.43, 29.20
54, 2.5287, 37.31, 35.60
55, 2.5395, 53.14, 52.20
56, 2.5342, 54.34, 52.45
57, 2.4927, 43.17, 41.95
58, 2.5363, 44.97, 43.90
59, 2.5365, 38.20, 36.45
60, 2.5611, 25.46, 25.95
61, 2.5224, 38.49, 36.90
62, 2.5652, 37.31, 35.55
63, 2.5483, 55.31, 52.40
64, 2.4932, 56.34, 55.60
65, 2.5237, 44.74, 44.30
66, 2.5698, 38.46, 36.80
67, 2.5823, 55.31, 52.75
68, 2.5517, 54.31, 52.50
69, 2.5540, 45.40, 42.90
70, 2.6216, 29.00, 27.95
71, 2.5685, 28.40, 28.15
72, 2.5383, 55.17, 55.20
73, 2.5440, 46.20, 44.90
74, 2.5295, 28.94, 28.30
75, 2.5412, 47.17, 45.95
76, 2.5049, 34.51, 34.75
77, 2.5660, 44.89, 44.20
78, 2.5265, 55.94, 55.10
79, 2.5432, 46.60, 46.05
80, 2.5131, 54.71, 53.95
81, 2.5270, 36.34, 35.20
82, 2.5613, 56.09, 53.35
83, 2.5511, 38.03, 35.25
84, 2.5282, 45.91, 44.50
85, 2.5272, 27.94, 27.30
86, 2.5200, 37.31, 37.65
87, 2.5206, 37.29, 37.10
88, 2.5367, 54.34, 54.35
89, 2.5221, 45.91, 45.60
90, 2.4937, 55.43, 54.70
91, 2.5087, 47.49, 47.05
92, 2.4999, 45.17, 43.45
93, 2.5076, 47.40, 46.15
94, 2.5391, 36.40, 34.80
95, 2.5255, 55.29, 54.55
96, 2.5348, 47.77, 45.95
97, 2.5561, 46.17, 43.75
98, 2.5456, 55.17, 51.95
99, 2.4952, 39.43, 37.75
100, 2.5446, 55.14, 54.05

