
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-10-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 1.0215, 18.97, 18.60
2, 0.8911, 25.69, 24.70
3, 0.8837, 29.91, 28.25
4, 0.8751, 33.54, 31.95
5, 0.8643, 36.57, 35.10
6, 0.8505, 38.63, 37.45
7, 0.8331, 40.46, 39.65
8, 0.8119, 43.00, 42.35
9, 0.7871, 47.14, 45.85
10, 0.7596, 52.34, 51.05
11, 0.7303, 57.03, 55.20
12, 0.7004, 60.06, 58.40
13, 0.6708, 63.14, 61.20
14, 0.6421, 65.03, 63.75
15, 0.6149, 66.97, 66.00
16, 0.5893, 69.46, 68.75
17, 0.5654, 71.29, 70.90
18, 0.5431, 72.94, 72.70
19, 0.5223, 74.63, 74.05
20, 0.5028, 76.23, 75.65
21, 0.4846, 77.51, 76.75
22, 0.4675, 78.74, 77.80
23, 0.4515, 79.49, 79.00
24, 0.4365, 80.34, 79.95
25, 0.4225, 81.29, 81.00
26, 0.4095, 82.09, 81.85
27, 0.3972, 82.97, 82.65
28, 0.3857, 83.89, 83.65
29, 0.3749, 84.66, 84.50
30, 0.3645, 85.29, 84.85
31, 0.3547, 85.89, 85.45
32, 0.3454, 86.51, 85.70
33, 0.3364, 87.03, 86.00
34, 0.3279, 87.49, 86.60
35, 0.3197, 87.60, 86.95
36, 0.3118, 88.20, 87.15
37, 0.3043, 88.60, 87.30
38, 0.2972, 88.91, 87.80
39, 0.2904, 89.11, 88.00
40, 0.2839, 89.37, 88.25
41, 0.2777, 89.60, 88.65
42, 0.2719, 89.69, 89.35
43, 0.2663, 89.83, 89.35
44, 0.2609, 90.06, 89.70
45, 0.2559, 90.00, 89.80
46, 0.2511, 90.03, 90.05
47, 0.2465, 90.20, 90.15
48, 0.2421, 90.43, 90.15
49, 0.2380, 90.57, 90.25
50, 0.2340, 90.63, 90.30
51, 0.2302, 90.74, 90.35
52, 0.2266, 90.89, 90.50
53, 0.2231, 91.00, 90.60
54, 0.2198, 91.23, 90.65
55, 0.2166, 91.31, 90.65
56, 0.2135, 91.34, 90.65
57, 0.2106, 91.40, 90.70
58, 0.2078, 91.46, 90.70
59, 0.2051, 91.51, 90.70
60, 0.2024, 91.60, 90.95
61, 0.1999, 91.74, 91.05
62, 0.1975, 91.89, 91.15
63, 0.1952, 91.83, 91.30
64, 0.1929, 91.91, 91.40
65, 0.1907, 91.89, 91.60
66, 0.1886, 91.97, 91.70
67, 0.1865, 92.09, 91.70
68, 0.1846, 92.11, 91.80
69, 0.1826, 92.14, 91.80
70, 0.1808, 92.17, 91.85
71, 0.1790, 92.26, 91.85
72, 0.1772, 92.37, 91.80
73, 0.1755, 92.40, 91.95
74, 0.1739, 92.40, 91.85
75, 0.1723, 92.54, 91.85
76, 0.1707, 92.60, 91.95
77, 0.1692, 92.69, 91.95
78, 0.1677, 92.83, 92.05
79, 0.1663, 92.86, 91.95
80, 0.1649, 92.86, 91.95
81, 0.1635, 92.94, 91.95
82, 0.1622, 93.03, 91.95
83, 0.1609, 93.06, 91.95
84, 0.1596, 93.14, 92.00
85, 0.1584, 93.20, 92.00
86, 0.1572, 93.34, 92.00
87, 0.1560, 93.37, 92.00
88, 0.1549, 93.40, 92.05
89, 0.1537, 93.46, 92.10
90, 0.1526, 93.49, 92.15
91, 0.1516, 93.51, 92.15
92, 0.1505, 93.49, 92.20
93, 0.1495, 93.57, 92.20
94, 0.1485, 93.63, 92.25
95, 0.1475, 93.74, 92.25
96, 0.1466, 93.74, 92.30
97, 0.1456, 93.77, 92.30
98, 0.1447, 93.83, 92.40
99, 0.1438, 93.86, 92.45
100, 0.1430, 93.86, 92.40

