
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-5-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 8.6322, 4.91, 5.55
2, 8.8839, 9.26, 9.50
3, 8.7308, 9.57, 9.70
4, 8.9031, 10.09, 10.45
5, 8.9756, 10.09, 10.50
6, 8.9742, 10.09, 10.45
7, 8.9863, 7.80, 7.20
8, 8.9999, 7.89, 7.20
9, 8.9999, 7.89, 7.20
10, 8.9662, 9.63, 8.95
11, 8.9963, 9.06, 8.40
12, 8.9781, 8.97, 8.30
13, 8.6745, 17.80, 17.05
14, 8.8521, 14.20, 13.50
15, 8.9665, 14.89, 13.10
16, 8.9462, 20.11, 19.35
17, 8.5669, 16.00, 15.65
18, 8.8606, 15.89, 16.30
19, 8.9020, 18.40, 19.65
20, 8.9049, 18.00, 19.55
21, 8.9785, 17.86, 19.15
22, 8.8983, 18.20, 19.25
23, 8.9037, 18.40, 18.40
24, 8.9991, 18.40, 18.50
25, 8.9597, 18.03, 19.30
26, 8.8470, 18.89, 18.75
27, 8.7810, 18.20, 18.05
28, 8.8772, 17.46, 16.95
29, 8.9605, 17.03, 16.80
30, 8.8995, 18.97, 19.15
31, 8.9336, 19.06, 19.05
32, 8.9164, 17.63, 17.75
33, 8.9946, 17.31, 17.10
34, 8.9892, 17.03, 16.90
35, 8.9371, 17.37, 16.90
36, 8.9021, 14.51, 14.40
37, 8.9256, 14.51, 14.30
38, 8.9805, 14.43, 14.25
39, 8.9397, 13.89, 13.40
40, 8.7022, 14.83, 14.30
41, 8.7396, 15.46, 14.70
42, 8.8050, 11.86, 11.75
43, 8.8897, 14.06, 13.65
44, 8.9193, 14.17, 14.35
45, 8.9598, 14.14, 13.75
46, 8.9324, 14.17, 14.70
47, 8.9023, 13.94, 14.70
48, 8.9740, 14.06, 14.75
49, 8.7501, 10.51, 11.50
50, 8.9706, 10.11, 11.30
51, 8.9998, 10.14, 11.30
52, 8.9758, 9.80, 11.05
53, 8.9993, 9.80, 11.05
54, 8.8453, 10.49, 11.70
55, 8.7692, 12.86, 13.50
56, 8.8172, 10.66, 11.90
57, 8.7790, 18.23, 19.50
58, 8.8682, 10.40, 11.45
59, 8.8688, 15.60, 15.10
60, 8.8594, 12.26, 11.70
61, 8.9163, 12.60, 12.80
62, 8.9677, 13.74, 13.80
63, 8.8653, 14.26, 14.25
64, 8.9216, 13.40, 13.45
65, 8.7963, 14.37, 14.60
66, 8.6383, 15.11, 15.30
67, 8.8465, 14.83, 14.30
68, 8.8883, 16.06, 16.40
69, 8.7021, 16.37, 15.25
70, 8.5634, 16.91, 16.45
71, 8.7451, 18.51, 17.60
72, 8.9346, 18.37, 17.25
73, 8.7857, 17.17, 16.30
74, 8.9963, 16.94, 16.00
75, 8.9161, 18.17, 18.45
76, 8.8371, 17.97, 17.30
77, 8.9999, 18.09, 17.30
78, 8.9984, 18.00, 17.35
79, 8.9087, 13.14, 12.25
80, 8.9627, 12.31, 11.60
81, 8.9806, 12.14, 11.45
82, 8.6896, 12.97, 12.20
83, 8.9775, 12.37, 11.95
84, 8.9784, 12.51, 12.05
85, 8.7086, 16.60, 15.60
86, 8.7315, 11.34, 10.65
87, 8.7761, 15.43, 14.70
88, 8.8623, 14.89, 14.85
89, 8.9134, 14.40, 14.50
90, 8.6568, 18.43, 17.50
91, 8.7369, 16.26, 15.05
92, 8.7925, 17.54, 16.60
93, 8.9745, 17.63, 16.55
94, 8.7263, 17.89, 17.20
95, 8.8859, 17.00, 15.35
96, 8.9693, 17.71, 16.55
97, 8.9446, 16.97, 15.40
98, 8.9996, 16.97, 15.40
99, 8.8802, 19.89, 19.55
100, 8.8738, 18.51, 17.50

