
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-15-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.3796, 92.86, 91.25
2, 0.1463, 94.26, 91.80
3, 0.1175, 95.00, 92.40
4, 0.1007, 95.29, 92.45
5, 0.0883, 95.71, 92.70
6, 0.0803, 95.83, 92.65
7, 0.0729, 95.94, 92.50
8, 0.0669, 96.14, 92.70
9, 0.0612, 96.29, 92.85
10, 0.0576, 96.46, 92.85
11, 0.0544, 96.40, 92.60
12, 0.0517, 96.54, 93.05
13, 0.0501, 96.63, 92.80
14, 0.0490, 96.86, 92.85
15, 0.0468, 96.74, 93.00
16, 0.0446, 96.71, 92.85
17, 0.0437, 97.00, 93.20
18, 0.0417, 96.89, 93.05
19, 0.0413, 97.00, 93.40
20, 0.0399, 97.11, 93.05
21, 0.0399, 97.11, 93.00
22, 0.0407, 97.29, 93.25
23, 0.0383, 97.23, 93.50
24, 0.0365, 97.09, 93.05
25, 0.0360, 97.37, 93.40
26, 0.0343, 97.11, 93.50
27, 0.0354, 97.31, 93.80
28, 0.0342, 97.31, 93.60
29, 0.0331, 97.03, 93.45
30, 0.0337, 97.31, 93.25
31, 0.0321, 97.57, 93.70
32, 0.0314, 97.54, 93.60
33, 0.0308, 97.71, 93.60
34, 0.0293, 97.71, 93.60
35, 0.0290, 97.80, 93.60
36, 0.0288, 97.89, 93.55
37, 0.0273, 97.97, 93.45
38, 0.0267, 98.06, 93.30
39, 0.0258, 98.14, 93.10
40, 0.0258, 98.00, 93.30
41, 0.0251, 98.26, 93.45
42, 0.0246, 98.31, 93.40
43, 0.0242, 98.23, 93.60
44, 0.0238, 98.26, 93.55
45, 0.0234, 98.29, 93.60
46, 0.0232, 98.29, 93.35
47, 0.0229, 98.31, 93.35
48, 0.0227, 98.34, 93.50
49, 0.0225, 98.40, 93.45
50, 0.0223, 98.43, 93.35
51, 0.0220, 98.46, 93.35
52, 0.0218, 98.46, 93.40
53, 0.0217, 98.51, 93.45
54, 0.0215, 98.51, 93.30
55, 0.0218, 98.23, 93.30
56, 0.0229, 98.34, 93.30
57, 0.0240, 98.31, 93.15
58, 0.0225, 98.26, 93.10
59, 0.0223, 98.49, 93.40
60, 0.0218, 98.54, 93.10
61, 0.0222, 98.54, 93.30
62, 0.0213, 98.57, 93.30
63, 0.0211, 98.51, 93.05
64, 0.0215, 98.49, 93.20
65, 0.0208, 98.54, 93.30
66, 0.0206, 98.51, 93.35
67, 0.0205, 98.54, 93.15
68, 0.0194, 98.54, 93.25
69, 0.0191, 98.57, 93.05
70, 0.0187, 98.60, 93.00
71, 0.0185, 98.60, 93.15
72, 0.0184, 98.60, 93.15
73, 0.0183, 98.60, 93.15
74, 0.0182, 98.60, 93.00
75, 0.0181, 98.60, 92.95
76, 0.0179, 98.60, 93.00
77, 0.0178, 98.60, 93.05
78, 0.0177, 98.60, 92.95
79, 0.0177, 98.63, 92.95
80, 0.0176, 98.63, 92.95
81, 0.0175, 98.63, 92.95
82, 0.0174, 98.63, 92.95
83, 0.0174, 98.63, 92.90
84, 0.0172, 98.63, 93.00
85, 0.0171, 98.63, 92.95
86, 0.0171, 98.63, 92.95
87, 0.0170, 98.63, 92.95
88, 0.0170, 98.63, 92.95
89, 0.0169, 98.63, 92.90
90, 0.0169, 98.63, 92.90
91, 0.0168, 98.66, 92.95
92, 0.0168, 98.66, 92.95
93, 0.0167, 98.66, 92.95
94, 0.0167, 98.66, 92.95
95, 0.0166, 98.66, 92.90
96, 0.0166, 98.66, 92.85
97, 0.0166, 98.66, 92.80
98, 0.0165, 98.66, 92.80
99, 0.0165, 98.66, 92.75
100, 0.0165, 98.66, 92.75

