
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-30-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8264, 75.20, 73.85
2, 0.5738, 76.94, 74.40
3, 0.5342, 77.91, 74.85
4, 0.5112, 77.80, 75.15
5, 0.4899, 78.31, 75.20
6, 0.4704, 81.49, 79.05
7, 0.4560, 84.66, 83.50
8, 0.4431, 87.74, 86.00
9, 0.4266, 88.91, 86.75
10, 0.4144, 89.46, 87.30
11, 0.4065, 89.63, 87.65
12, 0.4013, 89.77, 87.90
13, 0.3975, 89.97, 87.85
14, 0.3939, 89.86, 88.00
15, 0.3900, 90.31, 88.30
16, 0.3863, 90.49, 88.35
17, 0.3814, 90.91, 88.70
18, 0.3759, 91.20, 89.10
19, 0.3723, 91.20, 89.10
20, 0.3697, 91.23, 89.15
21, 0.3676, 91.17, 89.25
22, 0.3659, 91.23, 89.35
23, 0.3643, 91.20, 89.60
24, 0.3630, 91.26, 89.60
25, 0.3619, 91.31, 89.55
26, 0.3608, 91.40, 89.65
27, 0.3599, 91.43, 89.60
28, 0.3591, 91.43, 89.50
29, 0.3583, 91.43, 89.55
30, 0.3576, 91.23, 89.50
31, 0.3569, 91.37, 89.35
32, 0.3562, 91.26, 89.25
33, 0.3555, 91.17, 89.10
34, 0.3549, 91.11, 88.80
35, 0.3542, 90.89, 88.80
36, 0.3535, 90.83, 88.70
37, 0.3527, 90.77, 88.65
38, 0.3518, 90.77, 88.55
39, 0.3505, 91.00, 88.55
40, 0.3491, 91.09, 88.65
41, 0.3475, 91.11, 88.70
42, 0.3460, 91.11, 88.85
43, 0.3447, 91.14, 89.10
44, 0.3435, 91.11, 89.00
45, 0.3425, 91.26, 89.05
46, 0.3416, 91.23, 89.05
47, 0.3409, 91.29, 89.10
48, 0.3402, 91.26, 89.00
49, 0.3396, 91.26, 88.95
50, 0.3391, 91.26, 88.90
51, 0.3386, 91.23, 89.05
52, 0.3381, 91.20, 89.00
53, 0.3377, 91.23, 89.05
54, 0.3373, 91.31, 88.95
55, 0.3369, 91.37, 88.90
56, 0.3366, 91.37, 88.75
57, 0.3363, 91.40, 88.70
58, 0.3360, 91.43, 88.75
59, 0.3358, 91.46, 88.75
60, 0.3355, 91.51, 88.80
61, 0.3353, 91.54, 88.80
62, 0.3350, 91.49, 88.80
63, 0.3348, 91.46, 88.80
64, 0.3345, 91.51, 88.70
65, 0.3343, 91.57, 88.70
66, 0.3340, 91.57, 88.75
67, 0.3338, 91.60, 88.65
68, 0.3336, 91.57, 88.70
69, 0.3334, 91.51, 88.65
70, 0.3332, 91.51, 88.75
71, 0.3330, 91.51, 88.75
72, 0.3328, 91.49, 88.75
73, 0.3327, 91.49, 88.80
74, 0.3325, 91.46, 88.65
75, 0.3324, 91.40, 88.45
76, 0.3323, 91.40, 88.45
77, 0.3321, 91.43, 88.45
78, 0.3320, 91.43, 88.45
79, 0.3319, 91.43, 88.40
80, 0.3318, 91.40, 88.30
81, 0.3317, 91.31, 88.25
82, 0.3316, 91.34, 88.20
83, 0.3315, 91.40, 88.20
84, 0.3313, 91.40, 88.15
85, 0.3312, 91.40, 88.15
86, 0.3311, 91.37, 88.15
87, 0.3310, 91.34, 88.10
88, 0.3309, 91.31, 88.10
89, 0.3308, 91.34, 88.10
90, 0.3307, 91.34, 88.10
91, 0.3306, 91.34, 88.10
92, 0.3305, 91.34, 88.10
93, 0.3303, 91.31, 88.10
94, 0.3302, 91.29, 88.10
95, 0.3301, 91.29, 88.05
96, 0.3300, 91.23, 88.10
97, 0.3300, 91.26, 88.10
98, 0.3299, 91.23, 88.15
99, 0.3298, 91.26, 88.10
100, 0.3297, 91.23, 88.00

