
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-25-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8097, 56.80, 56.25
2, 0.5158, 85.57, 84.65
3, 0.3235, 90.49, 89.35
4, 0.2417, 92.46, 90.70
5, 0.2004, 93.26, 91.30
6, 0.1751, 93.69, 91.65
7, 0.1577, 93.80, 91.90
8, 0.1449, 94.17, 92.15
9, 0.1349, 94.37, 92.75
10, 0.1268, 94.46, 93.10
11, 0.1200, 94.69, 93.30
12, 0.1142, 94.97, 93.55
13, 0.1092, 95.31, 93.70
14, 0.1047, 95.77, 93.85
15, 0.1007, 95.89, 93.75
16, 0.0970, 96.03, 93.95
17, 0.0937, 96.17, 94.00
18, 0.0906, 96.26, 94.15
19, 0.0878, 96.37, 94.15
20, 0.0851, 96.43, 94.15
21, 0.0826, 96.57, 94.20
22, 0.0803, 96.60, 94.35
23, 0.0781, 96.71, 94.45
24, 0.0761, 96.77, 94.70
25, 0.0741, 96.89, 94.70
26, 0.0723, 96.97, 94.75
27, 0.0706, 97.14, 94.75
28, 0.0689, 97.31, 94.80
29, 0.0673, 97.46, 94.80
30, 0.0658, 97.51, 94.80
31, 0.0644, 97.51, 94.80
32, 0.0630, 97.54, 94.85
33, 0.0616, 97.54, 94.95
34, 0.0603, 97.57, 94.95
35, 0.0591, 97.60, 95.00
36, 0.0579, 97.69, 95.05
37, 0.0567, 97.71, 95.00
38, 0.0556, 97.80, 95.00
39, 0.0545, 97.83, 95.00
40, 0.0535, 97.91, 95.05
41, 0.0525, 97.94, 95.05
42, 0.0515, 98.00, 95.10
43, 0.0506, 98.06, 95.05
44, 0.0496, 98.11, 95.05
45, 0.0488, 98.11, 95.05
46, 0.0479, 98.11, 95.05
47, 0.0471, 98.14, 95.05
48, 0.0463, 98.14, 95.05
49, 0.0455, 98.17, 95.10
50, 0.0447, 98.20, 95.10
51, 0.0440, 98.23, 95.15
52, 0.0433, 98.31, 95.15
53, 0.0426, 98.37, 95.20
54, 0.0419, 98.37, 95.20
55, 0.0413, 98.37, 95.15
56, 0.0406, 98.40, 95.15
57, 0.0400, 98.40, 95.10
58, 0.0394, 98.43, 95.05
59, 0.0388, 98.43, 95.05
60, 0.0382, 98.43, 95.15
61, 0.0377, 98.46, 95.15
62, 0.0372, 98.46, 95.20
63, 0.0366, 98.49, 95.35
64, 0.0361, 98.51, 95.35
65, 0.0356, 98.51, 95.40
66, 0.0351, 98.54, 95.35
67, 0.0347, 98.60, 95.35
68, 0.0342, 98.63, 95.35
69, 0.0337, 98.63, 95.45
70, 0.0333, 98.63, 95.40
71, 0.0329, 98.66, 95.40
72, 0.0325, 98.66, 95.40
73, 0.0320, 98.69, 95.40
74, 0.0316, 98.71, 95.40
75, 0.0313, 98.71, 95.35
76, 0.0309, 98.74, 95.35
77, 0.0305, 98.74, 95.35
78, 0.0302, 98.77, 95.35
79, 0.0298, 98.80, 95.35
80, 0.0295, 98.80, 95.35
81, 0.0291, 98.83, 95.30
82, 0.0288, 98.83, 95.35
83, 0.0285, 98.86, 95.35
84, 0.0281, 98.86, 95.40
85, 0.0278, 98.86, 95.40
86, 0.0275, 98.86, 95.40
87, 0.0272, 98.86, 95.45
88, 0.0269, 98.89, 95.45
89, 0.0266, 98.94, 95.45
90, 0.0263, 98.94, 95.45
91, 0.0261, 98.97, 95.45
92, 0.0258, 99.00, 95.45
93, 0.0255, 99.00, 95.45
94, 0.0252, 99.00, 95.45
95, 0.0250, 99.00, 95.45
96, 0.0247, 99.00, 95.45
97, 0.0244, 99.00, 95.40
98, 0.0242, 99.00, 95.40
99, 0.0239, 99.00, 95.40
100, 0.0237, 99.03, 95.35

