
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-15-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8533, 49.91, 49.90
2, 0.6156, 76.51, 75.30
3, 0.4045, 85.54, 85.85
4, 0.2958, 89.34, 89.00
5, 0.2394, 90.97, 90.50
6, 0.2053, 91.86, 91.60
7, 0.1824, 92.60, 92.55
8, 0.1659, 93.06, 92.95
9, 0.1532, 93.49, 93.45
10, 0.1431, 93.94, 93.60
11, 0.1349, 94.43, 93.60
12, 0.1280, 94.66, 93.85
13, 0.1221, 94.86, 94.05
14, 0.1171, 95.14, 94.00
15, 0.1127, 95.46, 94.25
16, 0.1087, 95.63, 94.35
17, 0.1052, 95.74, 94.35
18, 0.1021, 95.77, 94.40
19, 0.0992, 95.91, 94.50
20, 0.0966, 96.00, 94.65
21, 0.0942, 96.14, 94.75
22, 0.0920, 96.29, 94.85
23, 0.0899, 96.29, 94.85
24, 0.0880, 96.34, 94.95
25, 0.0862, 96.43, 95.00
26, 0.0844, 96.46, 95.00
27, 0.0828, 96.57, 95.00
28, 0.0813, 96.60, 95.00
29, 0.0799, 96.66, 95.00
30, 0.0785, 96.69, 95.00
31, 0.0772, 96.69, 95.00
32, 0.0760, 96.69, 94.95
33, 0.0748, 96.71, 94.95
34, 0.0737, 96.77, 95.00
35, 0.0726, 96.77, 95.00
36, 0.0716, 96.89, 94.90
37, 0.0706, 96.89, 94.85
38, 0.0696, 97.03, 94.90
39, 0.0687, 97.03, 94.90
40, 0.0678, 97.14, 94.90
41, 0.0669, 97.14, 94.90
42, 0.0661, 97.14, 94.90
43, 0.0652, 97.26, 94.80
44, 0.0644, 97.29, 94.80
45, 0.0637, 97.29, 94.75
46, 0.0629, 97.29, 94.70
47, 0.0622, 97.31, 94.70
48, 0.0615, 97.31, 94.70
49, 0.0608, 97.31, 94.70
50, 0.0601, 97.31, 94.75
51, 0.0594, 97.43, 94.75
52, 0.0588, 97.49, 94.75
53, 0.0581, 97.49, 94.80
54, 0.0575, 97.54, 94.80
55, 0.0569, 97.51, 94.80
56, 0.0563, 97.57, 94.80
57, 0.0558, 97.63, 94.90
58, 0.0552, 97.74, 94.85
59, 0.0547, 97.74, 94.90
60, 0.0542, 97.77, 94.85
61, 0.0536, 97.83, 94.85
62, 0.0531, 97.86, 94.85
63, 0.0527, 97.89, 94.85
64, 0.0522, 97.91, 94.90
65, 0.0517, 97.97, 94.90
66, 0.0513, 98.00, 94.85
67, 0.0508, 98.00, 94.85
68, 0.0504, 98.00, 94.80
69, 0.0500, 98.03, 94.80
70, 0.0495, 98.03, 94.85
71, 0.0491, 98.03, 94.80
72, 0.0487, 98.03, 94.75
73, 0.0483, 98.03, 94.70
74, 0.0480, 98.03, 94.75
75, 0.0476, 98.06, 94.65
76, 0.0472, 98.06, 94.65
77, 0.0468, 98.06, 94.65
78, 0.0465, 98.06, 94.65
79, 0.0461, 98.09, 94.65
80, 0.0458, 98.06, 94.65
81, 0.0454, 98.09, 94.70
82, 0.0451, 98.09, 94.70
83, 0.0448, 98.09, 94.70
84, 0.0444, 98.11, 94.65
85, 0.0441, 98.11, 94.65
86, 0.0438, 98.11, 94.65
87, 0.0435, 98.14, 94.60
88, 0.0432, 98.14, 94.60
89, 0.0428, 98.14, 94.60
90, 0.0425, 98.17, 94.65
91, 0.0422, 98.17, 94.65
92, 0.0419, 98.17, 94.65
93, 0.0416, 98.17, 94.70
94, 0.0413, 98.17, 94.70
95, 0.0410, 98.17, 94.70
96, 0.0407, 98.17, 94.70
97, 0.0404, 98.20, 94.65
98, 0.0402, 98.20, 94.65
99, 0.0399, 98.20, 94.60
100, 0.0397, 98.20, 94.60

