
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-25-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.3497, 92.20, 90.95
2, 0.1465, 94.51, 92.60
3, 0.1103, 95.17, 93.05
4, 0.0917, 95.54, 93.75
5, 0.0781, 96.06, 93.85
6, 0.0673, 96.83, 94.40
7, 0.0587, 97.14, 94.65
8, 0.0523, 97.34, 94.70
9, 0.0479, 97.77, 95.00
10, 0.0434, 97.91, 95.20
11, 0.0398, 97.83, 95.35
12, 0.0369, 97.89, 95.45
13, 0.0340, 98.06, 95.25
14, 0.0311, 98.09, 95.30
15, 0.0287, 98.11, 95.20
16, 0.0269, 98.31, 95.00
17, 0.0251, 98.51, 95.35
18, 0.0236, 98.60, 95.10
19, 0.0226, 98.63, 94.85
20, 0.0214, 98.77, 94.90
21, 0.0204, 98.83, 95.00
22, 0.0193, 98.69, 94.95
23, 0.0187, 98.77, 94.85
24, 0.0180, 98.77, 95.05
25, 0.0174, 98.86, 95.15
26, 0.0166, 98.97, 95.25
27, 0.0160, 99.03, 95.25
28, 0.0157, 99.03, 95.30
29, 0.0150, 99.06, 95.35
30, 0.0144, 99.06, 95.50
31, 0.0140, 99.06, 95.55
32, 0.0138, 99.06, 95.55
33, 0.0134, 99.06, 95.50
34, 0.0131, 99.09, 95.45
35, 0.0129, 99.09, 95.55
36, 0.0128, 99.11, 95.60
37, 0.0126, 99.14, 95.60
38, 0.0125, 99.17, 95.60
39, 0.0124, 99.17, 95.65
40, 0.0121, 99.17, 95.70
41, 0.0117, 99.17, 95.70
42, 0.0115, 99.17, 95.65
43, 0.0113, 99.17, 95.65
44, 0.0112, 99.17, 95.60
45, 0.0110, 99.17, 95.65
46, 0.0108, 99.17, 95.75
47, 0.0106, 99.20, 95.80
48, 0.0105, 99.23, 95.80
49, 0.0103, 99.23, 95.80
50, 0.0101, 99.23, 95.80
51, 0.0100, 99.23, 95.65
52, 0.0098, 99.23, 95.70
53, 0.0096, 99.23, 95.70
54, 0.0095, 99.23, 95.70
55, 0.0094, 99.26, 95.60
56, 0.0093, 99.26, 95.60
57, 0.0093, 99.26, 95.60
58, 0.0092, 99.26, 95.70
59, 0.0091, 99.26, 95.70
60, 0.0093, 99.26, 95.70
61, 0.0089, 99.26, 95.75
62, 0.0087, 99.26, 95.75
63, 0.0086, 99.26, 95.75
64, 0.0086, 99.26, 95.75
65, 0.0085, 99.26, 95.75
66, 0.0085, 99.26, 95.75
67, 0.0084, 99.26, 95.70
68, 0.0084, 99.26, 95.70
69, 0.0083, 99.26, 95.70
70, 0.0082, 99.29, 95.70
71, 0.0082, 99.29, 95.70
72, 0.0081, 99.29, 95.75
73, 0.0081, 99.29, 95.70
74, 0.0081, 99.29, 95.75
75, 0.0080, 99.29, 95.75
76, 0.0080, 99.29, 95.75
77, 0.0080, 99.29, 95.80
78, 0.0079, 99.29, 95.85
79, 0.0079, 99.29, 95.85
80, 0.0079, 99.29, 95.85
81, 0.0079, 99.29, 95.80
82, 0.0079, 99.29, 95.80
83, 0.0079, 99.29, 95.80
84, 0.0078, 99.29, 95.75
85, 0.0078, 99.29, 95.75
86, 0.0078, 99.29, 95.75
87, 0.0078, 99.29, 95.70
88, 0.0078, 99.29, 95.75
89, 0.0078, 99.29, 95.75
90, 0.0078, 99.29, 95.75
91, 0.0077, 99.29, 95.80
92, 0.0077, 99.29, 95.80
93, 0.0077, 99.29, 95.80
94, 0.0077, 99.29, 95.80
95, 0.0077, 99.29, 95.80
96, 0.0077, 99.29, 95.75
97, 0.0077, 99.29, 95.75
98, 0.0077, 99.31, 95.75
99, 0.0077, 99.31, 95.80
100, 0.0077, 99.31, 95.80

