
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-20-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.5035, 89.40, 87.30
2, 0.1837, 93.57, 91.00
3, 0.1311, 94.94, 92.00
4, 0.1078, 95.54, 92.70
5, 0.0941, 95.97, 93.15
6, 0.0848, 96.17, 93.35
7, 0.0778, 96.43, 93.40
8, 0.0723, 96.77, 93.75
9, 0.0678, 96.86, 93.80
10, 0.0641, 96.89, 93.80
11, 0.0608, 97.09, 93.95
12, 0.0577, 97.31, 94.00
13, 0.0544, 97.29, 93.95
14, 0.0515, 97.46, 94.00
15, 0.0490, 97.49, 94.10
16, 0.0468, 97.66, 94.25
17, 0.0448, 97.77, 94.20
18, 0.0430, 97.83, 94.20
19, 0.0414, 97.91, 94.20
20, 0.0399, 97.97, 94.30
21, 0.0386, 98.00, 94.30
22, 0.0375, 98.03, 94.35
23, 0.0364, 98.11, 94.35
24, 0.0353, 98.14, 94.35
25, 0.0342, 98.17, 94.35
26, 0.0332, 98.26, 94.35
27, 0.0322, 98.29, 94.25
28, 0.0313, 98.31, 94.25
29, 0.0305, 98.34, 94.35
30, 0.0297, 98.37, 94.30
31, 0.0288, 98.37, 94.35
32, 0.0281, 98.40, 94.30
33, 0.0274, 98.40, 94.30
34, 0.0268, 98.43, 94.30
35, 0.0262, 98.43, 94.35
36, 0.0257, 98.43, 94.40
37, 0.0251, 98.46, 94.50
38, 0.0245, 98.49, 94.45
39, 0.0240, 98.51, 94.30
40, 0.0236, 98.51, 94.40
41, 0.0232, 98.54, 94.35
42, 0.0228, 98.54, 94.30
43, 0.0225, 98.57, 94.30
44, 0.0221, 98.57, 94.35
45, 0.0218, 98.63, 94.35
46, 0.0215, 98.63, 94.40
47, 0.0213, 98.63, 94.35
48, 0.0210, 98.63, 94.30
49, 0.0207, 98.66, 94.25
50, 0.0205, 98.66, 94.30
51, 0.0202, 98.69, 94.35
52, 0.0200, 98.71, 94.25
53, 0.0198, 98.71, 94.25
54, 0.0196, 98.71, 94.15
55, 0.0194, 98.77, 94.20
56, 0.0192, 98.77, 94.15
57, 0.0189, 98.74, 94.20
58, 0.0186, 98.74, 94.20
59, 0.0184, 98.74, 94.15
60, 0.0182, 98.77, 94.10
61, 0.0180, 98.77, 94.10
62, 0.0179, 98.77, 94.10
63, 0.0177, 98.77, 94.10
64, 0.0176, 98.77, 94.05
65, 0.0174, 98.77, 94.05
66, 0.0173, 98.77, 94.00
67, 0.0172, 98.77, 93.95
68, 0.0171, 98.77, 93.95
69, 0.0169, 98.77, 93.90
70, 0.0168, 98.77, 93.90
71, 0.0167, 98.77, 93.90
72, 0.0166, 98.77, 93.95
73, 0.0165, 98.80, 93.90
74, 0.0163, 98.80, 93.95
75, 0.0162, 98.80, 93.95
76, 0.0160, 98.83, 94.05
77, 0.0159, 98.83, 94.05
78, 0.0157, 98.83, 94.00
79, 0.0155, 98.83, 94.00
80, 0.0154, 98.83, 94.05
81, 0.0153, 98.83, 94.10
82, 0.0152, 98.83, 94.10
83, 0.0151, 98.86, 94.15
84, 0.0150, 98.86, 94.15
85, 0.0149, 98.86, 94.20
86, 0.0148, 98.86, 94.20
87, 0.0147, 98.86, 94.20
88, 0.0146, 98.89, 94.15
89, 0.0145, 98.86, 94.15
90, 0.0144, 98.86, 94.10
91, 0.0143, 98.86, 94.15
92, 0.0142, 98.89, 94.20
93, 0.0141, 98.89, 94.25
94, 0.0141, 98.89, 94.25
95, 0.0140, 98.89, 94.25
96, 0.0140, 98.91, 94.25
97, 0.0139, 98.91, 94.25
98, 0.0138, 98.94, 94.25
99, 0.0137, 98.97, 94.25
100, 0.0137, 98.97, 94.30

