
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-15-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 8.4796, 27.40, 28.20
2, 8.8002, 18.43, 17.90
3, 8.6695, 19.09, 19.60
4, 8.8243, 18.74, 18.70
5, 8.8345, 23.60, 24.20
6, 8.9792, 18.03, 18.90
7, 8.9323, 21.71, 22.35
8, 8.8847, 16.69, 18.10
9, 8.8533, 13.40, 13.70
10, 8.8701, 10.34, 11.20
11, 8.8785, 18.89, 19.50
12, 8.9254, 16.83, 17.35
13, 8.9232, 12.89, 13.30
14, 8.8955, 17.40, 17.60
15, 8.9325, 10.26, 10.90
16, 8.9779, 5.91, 5.55
17, 8.9833, 6.77, 7.95
18, 8.9850, 5.29, 5.35
19, 8.9928, 13.23, 13.95
20, 9.0000, 13.23, 13.95
21, 9.0000, 13.23, 13.95
22, 9.0000, 13.23, 13.95
23, 9.0000, 13.23, 13.95
24, 9.0000, 13.23, 13.95
25, 9.0000, 13.23, 13.95
26, 9.0000, 13.23, 13.95
27, 9.0000, 13.23, 13.95
28, 9.0000, 13.23, 13.95
29, 9.0000, 13.23, 13.95
30, 9.0000, 13.23, 13.95
31, 9.0000, 13.23, 13.95
32, 9.0000, 13.23, 13.95
33, 9.0000, 13.23, 13.95
34, 9.0000, 13.23, 13.95
35, 9.0000, 13.23, 13.95
36, 9.0000, 13.23, 13.95
37, 9.0000, 13.23, 13.95
38, 9.0000, 13.23, 13.95
39, 9.0000, 13.26, 13.95
40, 9.0000, 13.26, 13.95
41, 9.0000, 13.26, 13.95
42, 9.0000, 13.26, 13.95
43, 9.0000, 13.26, 13.95
44, 9.0000, 13.26, 13.95
45, 9.0000, 13.29, 13.95
46, 9.0000, 13.29, 13.95
47, 9.0000, 13.29, 13.95
48, 9.0000, 13.29, 13.95
49, 9.0000, 13.29, 13.95
50, 9.0000, 13.29, 13.95
51, 9.0000, 13.29, 13.95
52, 9.0000, 13.29, 13.95
53, 9.0000, 13.29, 13.95
54, 9.0000, 13.29, 13.95
55, 9.0000, 13.29, 13.95
56, 9.0000, 13.29, 13.95
57, 9.0000, 13.29, 14.00
58, 9.0000, 13.29, 14.05
59, 9.0000, 13.29, 14.05
60, 9.0000, 13.31, 14.05
61, 9.0000, 13.31, 14.05
62, 9.0000, 13.29, 14.05
63, 9.0000, 13.29, 14.05
64, 9.0000, 13.29, 14.05
65, 9.0000, 13.29, 14.05
66, 9.0000, 13.29, 14.05
67, 9.0000, 13.31, 14.10
68, 9.0000, 13.37, 14.10
69, 9.0000, 13.54, 14.35
70, 9.0000, 4.89, 5.30
71, 9.0000, 4.89, 5.30
72, 9.0000, 4.89, 5.30
73, 9.0000, 4.89, 5.40
74, 9.0000, 4.89, 5.40
75, 9.0000, 4.91, 5.40
76, 9.0000, 4.91, 5.45
77, 8.9882, 6.29, 6.80
78, 8.9734, 8.89, 8.75
79, 8.9982, 10.91, 11.00
80, 9.0521, 15.86, 15.55
81, 9.0000, 15.86, 15.45
82, 9.0000, 15.71, 15.35
83, 8.9862, 17.17, 16.60
84, 9.0000, 17.09, 16.60
85, 9.0000, 17.06, 16.60
86, 9.0000, 17.06, 16.60
87, 9.0000, 16.94, 16.45
88, 8.9774, 15.57, 15.25
89, 8.9999, 11.06, 11.15
90, 8.9841, 16.37, 15.75
91, 9.0000, 16.37, 15.75
92, 9.0000, 16.37, 15.75
93, 9.0000, 16.37, 15.75
94, 9.0000, 16.37, 15.75
95, 9.0000, 16.37, 15.75
96, 9.0000, 16.37, 15.75
97, 9.0000, 16.37, 15.75
98, 9.0000, 16.37, 15.75
99, 9.0000, 16.37, 15.75
100, 9.0000, 16.37, 15.75

