
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-30-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9682, 21.89, 21.20
2, 0.8750, 29.34, 29.05
3, 0.8538, 38.63, 38.90
4, 0.8267, 47.69, 47.25
5, 0.7930, 55.29, 54.65
6, 0.7535, 61.11, 61.45
7, 0.7100, 66.63, 68.00
8, 0.6646, 71.54, 72.85
9, 0.6196, 74.80, 76.60
10, 0.5766, 78.14, 79.35
11, 0.5370, 80.89, 81.80
12, 0.5013, 82.71, 83.55
13, 0.4696, 83.66, 84.30
14, 0.4416, 84.77, 85.35
15, 0.4168, 85.77, 86.25
16, 0.3948, 86.37, 86.85
17, 0.3753, 86.86, 87.60
18, 0.3580, 87.34, 88.25
19, 0.3426, 87.63, 88.55
20, 0.3288, 88.14, 88.85
21, 0.3164, 88.31, 89.00
22, 0.3052, 88.60, 89.25
23, 0.2951, 88.89, 89.55
24, 0.2860, 89.03, 89.75
25, 0.2777, 89.17, 90.00
26, 0.2700, 89.40, 90.10
27, 0.2630, 89.57, 90.10
28, 0.2566, 89.74, 90.25
29, 0.2507, 89.83, 90.15
30, 0.2451, 89.91, 90.30
31, 0.2400, 90.14, 90.35
32, 0.2352, 90.37, 90.40
33, 0.2308, 90.49, 90.65
34, 0.2266, 90.71, 90.75
35, 0.2226, 90.89, 90.95
36, 0.2189, 91.09, 91.10
37, 0.2153, 91.20, 91.15
38, 0.2120, 91.34, 91.35
39, 0.2088, 91.49, 91.45
40, 0.2058, 91.60, 91.45
41, 0.2029, 91.74, 91.45
42, 0.2002, 91.86, 91.55
43, 0.1976, 91.97, 91.65
44, 0.1950, 91.97, 91.65
45, 0.1926, 92.00, 91.65
46, 0.1903, 92.11, 91.70
47, 0.1881, 92.11, 91.75
48, 0.1859, 92.20, 91.75
49, 0.1839, 92.23, 91.80
50, 0.1819, 92.31, 91.75
51, 0.1799, 92.43, 91.70
52, 0.1781, 92.43, 91.70
53, 0.1763, 92.57, 91.70
54, 0.1745, 92.69, 91.75
55, 0.1728, 92.77, 91.75
56, 0.1712, 92.77, 91.70
57, 0.1696, 92.77, 91.75
58, 0.1680, 92.80, 91.80
59, 0.1665, 92.80, 91.90
60, 0.1650, 92.89, 91.95
61, 0.1636, 92.91, 92.15
62, 0.1622, 93.00, 92.15
63, 0.1609, 93.03, 92.25
64, 0.1596, 92.97, 92.30
65, 0.1583, 93.03, 92.40
66, 0.1570, 93.06, 92.40
67, 0.1558, 93.09, 92.35
68, 0.1546, 93.11, 92.45
69, 0.1534, 93.17, 92.45
70, 0.1523, 93.23, 92.55
71, 0.1511, 93.23, 92.55
72, 0.1500, 93.29, 92.55
73, 0.1490, 93.34, 92.60
74, 0.1479, 93.34, 92.60
75, 0.1469, 93.40, 92.60
76, 0.1459, 93.40, 92.60
77, 0.1449, 93.43, 92.65
78, 0.1439, 93.43, 92.65
79, 0.1429, 93.40, 92.65
80, 0.1420, 93.40, 92.75
81, 0.1411, 93.46, 92.75
82, 0.1402, 93.54, 92.80
83, 0.1393, 93.60, 92.90
84, 0.1384, 93.66, 92.95
85, 0.1375, 93.69, 92.95
86, 0.1367, 93.71, 92.95
87, 0.1359, 93.83, 93.00
88, 0.1350, 93.83, 93.00
89, 0.1342, 93.83, 93.05
90, 0.1334, 93.89, 93.00
91, 0.1327, 93.89, 93.00
92, 0.1319, 93.89, 93.05
93, 0.1311, 93.91, 93.05
94, 0.1304, 93.94, 93.10
95, 0.1297, 93.97, 93.10
96, 0.1289, 94.03, 93.15
97, 0.1282, 94.06, 93.20
98, 0.1275, 94.11, 93.20
99, 0.1268, 94.17, 93.20
100, 0.1261, 94.20, 93.20

