
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-10-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.5725, 89.26, 90.15
2, 0.2241, 91.80, 90.45
3, 0.1662, 92.91, 91.70
4, 0.1420, 93.86, 93.10
5, 0.1277, 94.26, 93.45
6, 0.1178, 94.57, 93.45
7, 0.1097, 94.86, 93.55
8, 0.1030, 95.11, 93.40
9, 0.0974, 95.29, 93.35
10, 0.0929, 95.49, 93.35
11, 0.0893, 95.49, 93.60
12, 0.0862, 95.57, 93.55
13, 0.0834, 95.66, 93.55
14, 0.0808, 95.83, 93.45
15, 0.0784, 95.91, 93.50
16, 0.0763, 96.17, 93.40
17, 0.0743, 96.11, 93.35
18, 0.0725, 96.09, 93.35
19, 0.0708, 96.14, 93.50
20, 0.0692, 96.17, 93.60
21, 0.0680, 96.14, 93.55
22, 0.0668, 96.20, 93.65
23, 0.0657, 96.26, 93.55
24, 0.0646, 96.20, 93.40
25, 0.0635, 96.20, 93.20
26, 0.0625, 96.26, 93.25
27, 0.0615, 96.31, 93.30
28, 0.0605, 96.37, 93.20
29, 0.0596, 96.43, 93.10
30, 0.0587, 96.49, 93.15
31, 0.0578, 96.49, 93.30
32, 0.0570, 96.46, 93.35
33, 0.0562, 96.54, 93.50
34, 0.0556, 96.63, 93.35
35, 0.0550, 96.63, 93.40
36, 0.0545, 96.54, 93.30
37, 0.0541, 96.57, 93.30
38, 0.0536, 96.63, 93.25
39, 0.0532, 96.66, 93.35
40, 0.0527, 96.63, 93.30
41, 0.0521, 96.66, 93.25
42, 0.0514, 96.69, 93.25
43, 0.0507, 96.71, 93.45
44, 0.0501, 96.77, 93.45
45, 0.0496, 96.80, 93.30
46, 0.0491, 96.83, 93.25
47, 0.0486, 96.91, 93.35
48, 0.0482, 96.94, 93.25
49, 0.0477, 96.91, 93.35
50, 0.0472, 96.86, 93.25
51, 0.0462, 96.89, 93.00
52, 0.0458, 96.89, 92.80
53, 0.0449, 96.83, 92.80
54, 0.0449, 96.91, 92.70
55, 0.0446, 96.94, 92.85
56, 0.0441, 96.97, 92.95
57, 0.0435, 96.94, 93.05
58, 0.0434, 96.94, 93.00
59, 0.0435, 97.00, 92.70
60, 0.0430, 96.89, 92.90
61, 0.0428, 97.06, 92.60
62, 0.0422, 97.00, 92.75
63, 0.0420, 96.94, 92.90
64, 0.0417, 97.11, 92.85
65, 0.0415, 97.06, 92.80
66, 0.0405, 97.23, 92.90
67, 0.0407, 97.14, 92.95
68, 0.0399, 97.23, 93.00
69, 0.0401, 97.09, 92.60
70, 0.0403, 97.20, 92.95
71, 0.0393, 97.20, 92.80
72, 0.0391, 97.23, 92.75
73, 0.0386, 97.29, 92.95
74, 0.0382, 97.31, 92.70
75, 0.0379, 97.26, 92.80
76, 0.0380, 97.31, 92.65
77, 0.0378, 97.31, 92.80
78, 0.0372, 97.31, 92.80
79, 0.0371, 97.40, 92.60
80, 0.0370, 97.29, 92.75
81, 0.0367, 97.34, 92.80
82, 0.0364, 97.46, 92.80
83, 0.0362, 97.46, 92.80
84, 0.0360, 97.51, 92.85
85, 0.0361, 97.49, 92.80
86, 0.0357, 97.49, 92.75
87, 0.0356, 97.51, 92.75
88, 0.0352, 97.51, 92.70
89, 0.0350, 97.57, 92.65
90, 0.0348, 97.57, 92.70
91, 0.0347, 97.54, 92.75
92, 0.0345, 97.63, 92.65
93, 0.0344, 97.57, 92.70
94, 0.0342, 97.63, 92.60
95, 0.0340, 97.63, 92.70
96, 0.0338, 97.60, 92.65
97, 0.0337, 97.60, 92.55
98, 0.0336, 97.60, 92.65
99, 0.0335, 97.60, 92.55
100, 0.0333, 97.54, 92.60

