PSO-NN - Hidden Layer Data

HL05
Epoch,Run 1,Run 3,Run 4,Run 5,Run 7,Run 11,Run 15,Run 17,Run 18,Run 20,Mean
3,1.1199,1.5466,1.2303,0.9208,1.0982,1.2064,1.302,1.0049,0.9231,0.9801,1.13323
4,1.1199,1.4817,1.0276,0.8667,1.0982,1.0914,1.0617,0.9429,0.8646,0.9578,1.05125
5,1.0182,1.279,0.9782,0.8171,0.9856,0.8987,1.0492,0.8384,0.8487,0.898,0.96111
6,0.9195,1.1147,0.9343,0.7868,0.8342,0.8491,0.9749,0.8065,0.8217,0.8357,0.88774
7,0.8473,1.0227,0.8952,0.7868,0.7836,0.696,0.9382,0.738,0.8051,0.8073,0.8320200000000002
8,0.7927,0.9749,0.8514,0.7699,0.7552,0.6914,0.8907,0.6999,0.7992,0.7765,0.8001799999999999
9,0.7717,0.876,0.814,0.7431,0.7178,0.675,0.8718,0.6588,0.7686,0.7668,0.7663599999999999
10,0.7498,0.8264,0.7808,0.725,0.717,0.6391,0.784,0.6406,0.7401,0.749,0.73518
11,0.7376,0.7829,0.744,0.7197,0.695,0.6358,0.7516,0.6293,0.7199,0.7424,0.71582
12,0.726,0.745,0.7247,0.7094,0.6779,0.625,0.7281,0.6061,0.7111,0.7331,0.69864
13,0.7052,0.7114,0.7186,0.7044,0.6609,0.6089,0.7183,0.5996,0.7046,0.7288,0.68607
14,0.6989,0.7104,0.7034,0.7009,0.6541,0.5992,0.712,0.5818,0.6914,0.7248,0.6776899999999999
15,0.6869,0.697,0.698,0.696,0.6468,0.5912,0.706,0.5772,0.6849,0.7221,0.6706099999999999
16,0.6782,0.6855,0.6916,0.6928,0.6395,0.5863,0.7002,0.5679,0.6768,0.7188,0.66376
17,0.6693,0.6723,0.6855,0.6913,0.6315,0.5805,0.6966,0.5633,0.67,0.7155,0.6575799999999999
18,0.664,0.6647,0.6821,0.6885,0.6279,0.5768,0.695,0.556,0.6639,0.712,0.65309
19,0.6602,0.6599,0.6793,0.6872,0.6231,0.5736,0.6937,0.5522,0.6613,0.71,0.65005
20,0.655,0.6543,0.677,0.6851,0.6201,0.572,0.6911,0.5498,0.6559,0.7054,0.64657
21,0.6533,0.6517,0.6755,0.6839,0.6185,0.5697,0.6902,0.5473,0.654,0.7007,0.6444799999999999
22,0.6508,0.648,0.6737,0.6832,0.6168,0.5683,0.6896,0.5444,0.6514,0.6982,0.6424399999999999
23,0.6476,0.6462,0.6729,0.6826,0.6143,0.5673,0.6887,0.5435,0.649,0.6952,0.64073
24,0.6454,0.645,0.6722,0.6819,0.6122,0.5665,0.6883,0.5426,0.6478,0.692,0.63939
25,0.6448,0.6435,0.6716,0.6815,0.611,0.5659,0.6879,0.5416,0.6464,0.6883,0.63825

HL20
Epoch,Run 2,Run 5,Run 6,Run 10,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Mean
1,2.1691,1.5716,1.5346,2.2558,1.4374,1.5041,1.543,1.8485,1.6399,2.3035,1.78075
2,1.9515,1.5716,1.4944,2.2558,1.4374,1.109,1.543,1.4118,1.5538,1.8177,1.6146
3,1.2436,1.5716,1.3924,2.2558,1.4374,0.9813,1.543,1.2037,1.2101,1.5325,1.43714
4,1.2436,1.5716,1.1553,1.4284,1.4374,0.9813,1.5323,1.1004,1.093,1.2059,1.2749199999999998
5,1.029,1.354,1.0454,1.2741,1.2191,0.9722,1.0392,1.0924,1.0905,1.0489,1.1164800000000001
6,0.9888,1.2592,0.929,1.1063,1.063,0.8929,0.9712,0.8955,1.0286,1.0038,1.01383
7,0.924,1.1448,0.929,0.9552,0.9165,0.8929,0.8842,0.8904,0.9906,0.9455,0.9473100000000002
8,0.9167,1.0527,0.929,0.9262,0.9165,0.872,0.8525,0.8904,0.9906,0.9234,0.9269999999999999
