PSO-NN - Swarm Size Data

SS010
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 10,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 26,Run 27,Run 29,Run 30,Mean
25,0.7267,0.7599,0.7759,0.8652,0.7539,0.845,0.7348,0.7361,0.8189,0.7106,0.8155,0.7441,0.811,0.8539,0.7722,0.7746,0.7602,0.7581,0.7804,0.7407,0.7814,0.8437,0.7687,0.7796304347826087

SS025
Epoch,Run 2,Run 3,Run 4,Run 5,Run 6,Run 8,Run 9,Run 10,Run 11,Run 12,Run 14,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 23,Run 24,Run 25,Run 27,Run 28,Run 30,Mean
1,1.0981,1.0785,1.1589,1.0225,0.9892,0.9485,1.113,1.1327,1.0451,0.9911,1.1236,0.8928,0.9445,1.0142,1.1749,1.1671,1.11,1.0234,1.0613,1.1031,0.9478,1.2087,1.3145,1.0723260869565217
2,1.0981,0.9714,1.1589,1.0225,0.9308,0.9485,1.113,1.1327,0.9872,0.9911,1.1236,0.8928,0.9445,1.0035,1.1749,1.1671,1.11,1.0234,1.0613,1.033,0.9017,1.1332,1.0729,1.0433086956521738
3,1.0981,0.9214,1.1589,1.0225,0.9308,0.9485,1.0629,1.0804,0.9872,0.9911,1.1236,0.8928,0.9445,1.0035,1.1408,1.1671,1.0767,0.9824,1.0239,0.9908,0.8865,1.0637,1.0729,1.0248260869565218
4,1.0981,0.8283,1.0487,1.0225,0.9308,0.9485,0.9741,0.981,0.9872,0.9236,1.0234,0.8559,0.9445,0.9686,1.044,0.9908,1.0767,0.9797,0.961,0.8748,0.8865,1.0574,0.9925,0.9738521739130436
5,0.9548,0.7831,1.0345,1.0202,0.9308,0.9418,0.9071,0.9208,0.9872,0.8673,0.9927,0.8559,0.8788,0.9446,1.0431,0.9354,1.0767,0.9797,0.961,0.869,0.8865,0.9045,0.9925,0.9420869565217391
6,0.9252,0.7476,0.9976,0.9816,0.9047,0.933,0.8929,0.9208,0.917,0.848,0.9326,0.8559,0.8788,0.8248,1.0132,0.9231,1.0767,0.9593,0.9205,0.869,0.8763,0.9007,0.9925,0.9170347826086958
7,0.8676,0.7476,0.9487,0.9668,0.827,0.879,0.8881,0.8836,0.8717,0.8204,0.909,0.8559,0.8788,0.7711,0.9119,0.8895,0.962,0.9321,0.9057,0.8575,0.7806,0.9007,0.9057,0.8765652173913044
8,0.8676,0.7476,0.9331,0.9396,0.8246,0.8274,0.87,0.8666,0.8384,0.8097,0.909,0.7773,0.8572,0.7531,0.8983,0.8663,0.9273,0.9226,0.8805,0.8426,0.7596,0.8771,0.9049,0.8565391304347826
9,0.8676,0.7076,0.9068,0.9284,0.7745,0.8274,0.8623,0.8551,0.7898,0.7989,0.909,0.7386,0.8471,0.7283,0.8983,0.8505,0.9229,0.9108,0.8687,0.8089,0.7353,0.8706,0.8724,0.8382521739130434
10,0.8676,0.7025,0.9048,0.9107,0.7643,0.8274,0.8275,0.8491,0.7898,0.7507,0.8604,0.6782,0.8387,0.6926,0.8983,0.8394,0.9229,0.8741,0.8637,0.8019,0.7334,0.8417,0.8535,0.8214434782608696
11,0.8366,0.6736,0.897,0.8833,0.7531,0.8175,0.7886,0.7534,0.7873,0.7329,0.8604,0.6722,0.8351,0.682,0.8767,0.8229,0.8636,0.8708,0.8525,0.7695,0.7279,0.8417,0.8262,0.8010782608695652
