BP-NN - Learning Rate Data

LR0001
Epoch,Run 2,Run 4,Run 5,Run 7,Run 10,Run 11,Run 14,Run 17,Run 18,Run 19,Mean
2,0.5505,0.5903,0.5681,0.5643,0.541,0.6784,0.5806,0.5306,0.548,0.5343,0.56861
3,0.4137,0.4887,0.423,0.4293,0.3884,0.5187,0.4638,0.3941,0.4434,0.4022,0.43653000000000003
4,0.3059,0.4012,0.3114,0.3236,0.2829,0.384,0.3726,0.3044,0.3533,0.3087,0.3348
5,0.2311,0.3297,0.2421,0.2591,0.2191,0.3014,0.3006,0.2427,0.2786,0.2435,0.26478999999999997
6,0.1862,0.2734,0.1992,0.2031,0.182,0.2501,0.2555,0.2002,0.2284,0.2047,0.21827999999999997
7,0.1574,0.2282,0.1732,0.1651,0.1565,0.2065,0.2116,0.174,0.1963,0.1751,0.18439
8,0.1407,0.1944,0.153,0.139,0.1397,0.1765,0.1725,0.1504,0.1694,0.1544,0.159
9,0.1239,0.1664,0.1433,0.1228,0.124,0.154,0.1451,0.1416,0.1465,0.1386,0.14062000000000002
10,0.1132,0.1487,0.1316,0.1073,0.1112,0.134,0.1258,0.129,0.1257,0.1285,0.1255
11,0.1008,0.1321,0.1238,0.102,0.1,0.1183,0.1098,0.1136,0.1105,0.1125,0.11234
12,0.0929,0.1196,0.1119,0.0876,0.0851,0.1054,0.0967,0.1048,0.1011,0.1005,0.10056000000000001
13,0.0847,0.1068,0.1074,0.081,0.079,0.091,0.0875,0.0949,0.0925,0.0893,0.09141
14,0.0781,0.0977,0.0989,0.0762,0.0661,0.0882,0.0795,0.0847,0.0809,0.0819,0.08321999999999999
15,0.0723,0.0912,0.0898,0.0649,0.0592,0.077,0.0725,0.077,0.0717,0.0729,0.07485
16,0.0633,0.0811,0.0803,0.0636,0.0533,0.0662,0.0579,0.0701,0.0687,0.066,0.06705000000000001
17,0.0605,0.0737,0.0744,0.0559,0.0482,0.0623,0.0567,0.0618,0.0595,0.0565,0.06094999999999999
18,0.054,0.0695,0.0686,0.0525,0.0419,0.0581,0.0537,0.0595,0.0577,0.0484,0.056389999999999996
19,0.0488,0.0624,0.0647,0.0497,0.0417,0.0563,0.0492,0.0552,0.0512,0.0455,0.05247
20,0.0467,0.0567,0.054,0.0494,0.0369,0.047,0.0444,0.0511,0.052,0.0443,0.04825
21,0.043,0.0562,0.0579,0.0414,0.0324,0.0463,0.0422,0.0475,0.0481,0.0414,0.04564
