PSO-NN - Parameter Data

PAR1
Epoch,Run 4,Run 5,Run 7,Run 9,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Mean
2,1.069,1.1822,1.0462,1.0924,1.1134,1.0609,1.386,0.9353,1.1849,1.3523,1.14226
3,0.9867,1.1822,0.9614,1.0924,0.9492,1.0609,1.386,0.9271,1.1849,1.3523,1.10831
4,0.8564,1.1822,0.9614,1.0566,0.9492,1.0609,1.386,0.9018,1.1849,1.1794,1.07188
5,0.849,0.9841,0.9614,1.0513,0.8598,1.0099,1.2023,0.817,1.0304,1.0173,0.9782500000000001
6,0.849,0.9141,0.9614,0.9338,0.8598,0.9566,0.97,0.7754,0.9785,0.9741,0.91727
7,0.8161,0.8891,0.9015,0.8797,0.8598,0.9033,0.9494,0.7645,0.9527,0.8514,0.87675
8,0.8133,0.8773,0.8354,0.8756,0.8598,0.8907,0.9494,0.7629,0.9228,0.8514,0.8638600000000001
9,0.7253,0.863,0.7651,0.8207,0.8598,0.8606,0.9494,0.7063,0.9193,0.8514,0.83209
10,0.7253,0.863,0.7651,0.8054,0.84,0.8301,0.9404,0.7063,0.856,0.7938,0.8125399999999999
11,0.6927,0.8259,0.7651,0.7678,0.8092,0.7928,0.89,0.7063,0.8329,0.7938,0.78765
12,0.6829,0.7723,0.7603,0.7674,0.7084,0.7709,0.7913,0.6978,0.8329,0.7938,0.7578
13,0.653,0.7723,0.7603,0.7326,0.7084,0.7709,0.784,0.6889,0.7944,0.7916,0.74564
14,0.653,0.7723,0.7566,0.7305,0.7016,0.7658,0.7559,0.6829,0.7583,0.7673,0.73442
15,0.6519,0.7723,0.724,0.724,0.6988,0.7368,0.7559,0.6773,0.7214,0.7553,0.72177
16,0.6451,0.7549,0.6976,0.7026,0.675,0.7175,0.7474,0.6484,0.677,0.6212,0.6886699999999999
17,0.6285,0.7429,0.6739,0.6994,0.6717,0.6969,0.7341,0.6279,0.6662,0.6053,0.67468
18,0.6164,0.7184,0.6651,0.6889,0.6601,0.667,0.7066,0.6279,0.6316,0.6053,0.65873
19,0.6064,0.707,0.6217,0.6839,0.644,0.6572,0.6954,0.6253,0.6256,0.5942,0.64607
20,0.5973,0.685,0.6173,0.6779,0.6425,0.6517,0.679,0.6116,0.6235,0.5942,0.638
21,0.5881,0.6588,0.5845,0.6657,0.6255,0.6412,0.6517,0.6045,0.6169,0.5942,0.6231099999999999
22,0.5824,0.647,0.5773,0.661,0.6168,0.6378,0.6243,0.5982,0.6127,0.5899,0.6147400000000001
23,0.5766,0.6336,0.554,0.6555,0.6101,0.6315,0.5762,0.5899,0.6044,0.5834,0.60152
24,0.5629,0.6229,0.5473,0.6492,0.6087,0.6291,0.5371,0.5865,0.5991,0.5789,0.5921700000000001
25,0.5532,0.6199,0.5347,0.6467,0.6036,0.627,0.5371,0.5771,0.5952,0.5753,0.58698

PAR4
Epoch,Run 1,Run 4,Run 5,Run 7,Run 9,Run 12,Run 15,Run 16,Run 17,Run 20,Mean
1,1.0413,1.0369,1.1153,1.0621,1.1179,1.3543,1.1135,1.4561,1.3922,1.4341,1.21237
2,1.0109,0.918,1.0291,1.0621,1.1179,1.3543,1.1135,1.2511,1.3922,1.2736,1.1522700000000001
3,0.9313,0.918,1.0291,1.0621,0.908,1.3543,1.1135,1.1816,1.3922,1.2736,1.11637
4,0.9205,0.918,1.0291,1.0621,0.908,1.3543,1.1135,1.1178,1.3922,1.0971,1.0912600000000001
5,0.9205,0.876,0.9619,1.0621,0.908,1.0428,1.0704,0.9168,1.1953,1.0101,0.9963899999999999
6,0.9205,0.8591,0.9619,0.9911,0.8935,1.0428,1.0068,0.9168,1.1953,0.9958,0.97836
7,0.9022,0.7521,0.9619,0.9911,0.8935,1.0428,1.0068,0.9168,1.1953,0.9378,0.9600299999999999
8,0.9022,0.7521,0.9619,0.9911,0.8935,1.0229,0.9689,0.9168,1.1953,0.8462,0.9450899999999999
9,0.8597,0.7182,0.9619,0.9911,0.862,0.8783,0.9689,0.9168,0.9371,0.8462,0.89402
10,0.8597,0.7182,0.9619,0.9911,0.8154,0.8761,0.927,0.8927,0.92,0.8462,0.8808299999999999
11,0.8597,0.7182,0.9619,0.9911,0.7853,0.8566,0.927,0.8576,0.92,0.8305,0.8707900000000001
12,0.8597,0.7182,0.945,0.9911,0.7414,0.8566,0.927,0.847,0.7778,0.8305,0.8494300000000001
13,0.8419,0.7182,0.9405,0.9911,0.7414,0.8566,0.8973,0.8438,0.7512,0.8305,0.8412499999999999
14,0.831,0.6967,0.9093,0.9911,0.7414,0.8358,0.804,0.8264,0.7512,0.8018,0.8188699999999999
15,0.831,0.6967,0.8853,0.9911,0.7414,0.8144,0.804,0.8264,0.7208,0.7684,0.80795
16,0.831,0.6967,0.8597,0.9401,0.7226,0.8144,0.804,0.8264,0.7018,0.7684,0.7965099999999999
17,0.831,0.6455,0.8564,0.9244,0.7032,0.8144,0.804,0.8264,0.7018,0.7336,0.78407
18,0.831,0.6455,0.8468,0.8409,0.7004,0.8107,0.804,0.8264,0.6758,0.7336,0.7715099999999999
19,0.831,0.6455,0.8468,0.8409,0.6909,0.8022,0.7879,0.8216,0.6758,0.7336,0.76762
20,0.8249,0.6441,0.8405,0.8409,0.6725,0.7706,0.7879,0.8216,0.6758,0.7336,0.7612399999999999
21,0.8173,0.6374,0.8303,0.8409,0.66,0.7706,0.7879,0.8206,0.6758,0.7336,0.75744
22,0.7712,0.6374,0.8029,0.8274,0.6336,0.7672,0.7737,0.8101,0.6353,0.7336,0.73924
23,0.7625,0.6348,0.8029,0.7995,0.6225,0.7473,0.7737,0.8035,0.6272,0.7336,0.73075
24,0.7501,0.6332,0.8029,0.7995,0.6225,0.7199,0.7737,0.7914,0.6272,0.7333,0.7253700000000001
25,0.7219,0.6163,0.7849,0.7823,0.6076,0.7199,0.7737,0.7823,0.6272,0.7042,0.71203

PAR5
Epoch,Run 4,Run 5,Run 9,Run 10,Run 12,Run 13,Run 15,Run 17,Run 19,Run 20,Mean
1,1.5851,1.1763,1.3659,1.3493,1.6748,1.4028,1.1185,1.7821,1.2509,1.2337,1.39394
2,1.1229,1.1763,1.2305,1.3493,1.6748,1.4028,1.0339,1.7821,1.2509,1.0574,1.30809
3,1.0921,1.1763,1.2305,1.3493,1.6748,1.4028,1.016,1.7821,1.2509,1.0574,1.30322
4,1.0921,1.1763,1.2305,1.3493,1.5981,1.4028,0.9513,1.5003,1.2509,1.0574,1.2609
5,1.0921,1.1763,1.1824,1.2699,0.9512,1.2061,0.9513,1.3688,1.2509,1.0574,1.1506399999999999
6,1.0921,1.1574,1.1824,1.2699,0.9512,1.2061,0.9513,1.3688,1.1387,1.0574,1.1375300000000002
7,1.0809,1.0863,1.1824,1.2699,0.9512,1.2061,0.9513,1.3688,1.1387,1.0574,1.1293000000000002
8,1.057,1.0353,1.1824,1.1903,0.9512,1.1606,0.9513,1.2827,1.1387,1.0574,1.10069
9,1.057,1.0353,1.0883,1.1752,0.9512,1.1111,0.9362,1.2827,1.1387,1.0445,1.08202
10,1.0006,1.0353,1.0883,1.0626,0.9512,1.1111,0.9129,1.2827,1.1387,1.0445,1.06279
11,0.8488,1.0353,1.0883,1.0626,0.9512,1.1111,0.9084,1.1852,1.1387,1.0165,1.03461
12,0.8488,1.0353,1.0883,1.0626,0.9512,1.1111,0.9084,1.1852,1.1387,1.0165,1.03461
13,0.8488,1.0353,1.0883,1.0626,0.9512,0.9603,0.9084,1.1443,1.1387,1.0165,1.0154400000000001
14,0.8316,1.0353,1.0741,1.0626,0.9512,0.9603,0.9084,1.1443,1.1244,1.0165,1.0108700000000002
15,0.8316,1.0353,1.0741,1.0626,0.9512,0.9603,0.9084,1.1443,1.1244,1.0165,1.0108700000000002
16,0.8316,1.0353,1.0741,1.0626,0.9512,0.9603,0.9084,1.098,1.1244,1.0165,1.0062400000000002
17,0.83,1.0104,1.0363,1.0626,0.9512,0.9603,0.8907,1.0757,1.1244,1.0165,0.99581
18,0.83,1.0104,1.0186,1.0626,0.9512,0.9603,0.8907,1.0757,1.1244,1.0165,0.99404
19,0.83,1.0104,1.0177,1.0626,0.9512,0.9603,0.8907,1.0757,1.0406,1.0165,0.9855700000000001
20,0.8243,1.0104,1.0177,1.0626,0.9512,0.9603,0.8907,0.9948,1.0406,0.9991,0.97517
21,0.8243,1.0104,1.0177,1.0626,0.9502,0.9603,0.8907,0.9948,1.0406,0.9991,0.97507
22,0.8218,1.0079,1.0168,1.0626,0.9502,0.9603,0.8907,0.9948,1.0406,0.9991,0.97448
23,0.8129,1.0079,1.0168,1.0465,0.9502,0.9562,0.8907,0.9948,1.0406,0.9991,0.97157
24,0.7578,1.0079,1.0168,1.0231,0.9495,0.9562,0.8907,0.9948,1.0406,0.9991,0.96365
25,0.7578,1.0079,1.0168,1.0218,0.9495,0.9562,0.8907,0.9908,1.0406,0.907,0.9539099999999999
